Sample ID	Superfamily	Family	Taxa	Assembly File Name 	Genbank SRA
Callid	Calliduloidea	Callidulidae	Pterodecta felderi	final_soap_Callid.fa	SRR1299369 
Bmoricds	Bombycoidea	Bombycidae	Bombyx mori	N/A	N/A
acti2	Bombycoidea	Saturniidae	Actias luna	doi:10.5061/dryad.r5cq0: acti2_assembly.fasta	SRR1002974
FG120015	Noctuoidea	Notodontidae	Notoplusia minuta	final_soap_FG120015.fa	SRR1299746 
FG120016	Bombycoidea	Saturniidae	Therinia lactucina	final_soap_FG120016.fa	SRR1299418 
FG120022	Cossoidea	Cossidae	Morpheis mathani	final_soap_FG120022.fa	SRR1299214 
elug1	Bombycoidea	Sphingidae	Enyo lugubris	doi:10.5061/dryad.r5cq0: elug1_assembly.fasta	SRR1002983
HEMA2	Bombycoidea	Sphingidae	Hemaris diffinis	doi:10.5061/dryad.r5cq0: hema2_assembly.fasta	SRR1002987
Msexta	Bombycoidea	Sphingidae	Manduca sexta	N/A	N/A
FG120024	Zygaenoidea	Megalopygidae	Megalopyge tharops	final_soap_FG120024.fa	SRR1299217 
FG120028B	Hepialoidea	Hepialidae	Aepytus sp.	final_soap_FG120028B.fa	SRR1299317 
FG120035	Zygaenoidea	Dalceridae	Dalcera abrasa	final_soap_FG120035.fa	SRR1299208 
FG120046B	Mimallonoidea	Mimallonidae	Lacosoma ludolpha	final_soap_FG120046B.fa	SRR1299212 
FG120049B	Bombycoidea	Sphingidae	Adhemarius daphne	final_soap_FG120049B.fa	SRR1299394 
FG120055B	Geometroidea	Sematuridae	Nothus lunus	final_soap_FG120055B.fa	SRR1299318 
FG120070B	Lasiocampoidea	Lasiocampidae	Artace sp.	final_soap_FG120070B.fa	SRR1299316 
FG120071B	Pyraloidea	Crambidae	Myelobia sp.	final_soap_FG120071B.fa	SRR1299267 
FG120077	Papilionoidea	Lycaenidae	Semomesia campanea	final_soap_FG120077.fa	SRR1299211 
FG120079	Thyridoidea	Thyrididae	Zeuzerodes maculata	final_soap_FG120079.fa	SRR1299209 
FG120096B	Bombycoidea	Saturniidae	Eacles sp.	final_soap_FG120096B.fa	SRR1299435 
FG120122	Papilionoidea	Hedylidae	Macrosoma sp.	final_soap_FG120122.fa	SRR1299306 
GNV120020	Papilionoidea	Hesperiidae	Hylephila phyleus	final_soap_GNV120020.fa	SRR1299296 
GNV120025	Papilionoidea	Lycaenidae	Hemiargus ceraunus	final_soap_GNV120025.fa	SRR1299274 
GNV120027	Pterophoroidea	Pterophoridae	Lantanophaga pusillidactyla	final_soap_GNV120027.fa	SRR1299210 
GNV120029	Geometroidea	Geometridae	Macaria distribuaria	final_soap_GNV120029.fa	SRR1299213 
GNV120032	Geometroidea	Geometridae	Nemoria lixaria	final_soap_GNV120032.fa	SRR1299347 
GNV129007	Urodoidea	Urodidae	Urodus parvula	final_soap_GNV129007.fa	SRR1299750 
GNV139000	Papilionoidea	Hesperiidae	Megathymus yuccae	final_soap_GNV139000.fa	SRR1299752 
GNV139006	Thyridoidea	Thyrididae	Pseudothyris sepulchralis	final_soap_GNV139006.fa	SRR1299495 
Pcit2	Gracillarioidea	Gracillariidae	Phyllocnistis citrella	final_soap_Pcit2.fa	SRR1299751 
SRR64791_	Pyraloidea	Crambidae	Cnaphalocrocis medinalis	final_soap_SR64791_.fa	SRR647910 - SRR647915
B_anynana	Papilionoidea	Nymphalidae	Bicyclus anynana	N/A	N/A
Dplexcds	Papilionoidea	Nymphalidae	Danaus plexippus	N/A	N/A
hmelpcds	Papilionoidea	Nymphalidae	Heliconius melpomene	N/A	N/A
SRR803483	Tortricoidea	Tortricidae	Grapholita dimorpha	final_soap_SRR803483.fa	SRR803483
SRR850324	Papilionoidea	Papilionidae	Papilio glaucus	final_soap_SRR850324.fa	SRR850324
SRR850327	Papilionoidea	Papilionidae	Papilio polytes	final_soap_SRR850327.fa	SRR850327
SW130007	Gelechioidea	Lecithoceridae	Thubana sp.	final_soap_SW130007.fa	SRR1300991 
SW130103	Noctuoidea	Euteliidae	Anigraea sp.	final_soap_SW130103.fa	SRR1299755 
SW130126	Geometroidea	Uraniidae	Lyssa zampa	final_soap_SW130126.fa	SRR1299769 
SW130197	Gelechioidea	Gelechiidae	Dichomeris sp.	final_soap_SW130197.fa	SRR1299773 
SW130206	Adeloidea	Adelidae	Nemophora sp.	final_soap_SW130206.fa	SRR1299782 
SW130224	Noctuoidea	Nolidae	Manoba major	final_soap_SW130224.fa	SRR1300145 
PXYLO	Yponomeutoidea	Plutellidae	Plutella xylostella	N/A	N/A
SW130232	Noctuoidea	Erebidae	Eudocima salaminia	final_soap_SW130232.fa	SRR1300148 
Xter2	Bombycoidea	Sphingidae	Xylophanes tersa	final_soap_Xter2.fa	SRR1298384 
