seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
pse10000.1 phoebis_sennae_v1x1_core_27_80_2 cds 	3765	3765	3764	731	763	150	0.1941567	0.20265605	0.039851222	0.042242296	1.0128139	1.0735829
pse1002.1 phoebis_sennae_v1x1_core_27_80_2 cds 	429	429	428	122	118	36	0.28438228	0.27505827	0.08411215	0.11448598	1.0753045	1.4636089
pse10034.1 phoebis_sennae_v1x1_core_27_80_2 cds 	1722	1722	1721	311	395	47	0.18060395	0.22938444	0.027309705	0.045903545	0.65921307	1.108039
pse10046.1 phoebis_sennae_v1x1_core_27_80_2 cds 	243	243	242	57	80	27	0.2345679	0.32921812	0.11157025	0.07024793	1.4447613	0.9096645
pse1004.1 phoebis_sennae_v1x1_core_27_80_2 cds 	3906	3906	3905	992	1015	270	0.25396827	0.25985664	0.069142126	0.07554417	1.0476819	1.1446894
pse1004.2 phoebis_sennae_v1x1_core_27_80_2 cds 	267	267	266	63	82	24	0.23595506	0.3071161	0.09022556	0.05639098	1.2450813	0.77817583
pse1004.3 phoebis_sennae_v1x1_core_27_80_2 cds 	3231	3231	3230	910	924	316	0.28164655	0.28597957	0.097832814	0.091331266	1.2146331	1.1339138
pse1004.4 phoebis_sennae_v1x1_core_27_80_2 cds 	2829	2829	2828	547	649	102	0.19335455	0.22940968	0.036067892	0.043140028	0.81312	0.9725553
pse1004.5 phoebis_sennae_v1x1_core_27_80_2 cds 	771	771	770	134	165	16	0.17380026	0.21400778	0.02077922	0.044155844	0.5586622	1.1871572
pse1004.6 phoebis_sennae_v1x1_core_27_80_2 cds 	1392	1392	1391	266	331	69	0.19109195	0.23778735	0.049604602	0.04457225	1.0916686	0.98091954
pse1004.7 phoebis_sennae_v1x1_core_27_80_2 cds 	1551	1551	1550	358	351	76	0.23081882	0.2263056	0.04903226	0.059354838	0.9386753	1.1362911
pse1004.8 phoebis_sennae_v1x1_core_27_80_2 cds 	2790	2790	2789	680	609	138	0.2437276	0.21827957	0.0494801	0.054141268	0.93006384	1.0176786
pse1004.9 phoebis_sennae_v1x1_core_27_80_2 cds 	1245	1245	1244	312	321	74	0.25060242	0.25783134	0.059485532	0.061897106	0.9206412	0.9579644
pse1004.10 phoebis_sennae_v1x1_core_27_80_2 cds 	333	333	332	63	77	11	0.1891892	0.23123123	0.03313253	0.045180723	0.75737643	1.032786
pse1004.11 phoebis_sennae_v1x1_core_27_80_2 cds 	1434	1434	1433	266	291	32	0.18549512	0.20292887	0.022330774	0.03768318	0.5932359	1.0010856
pse1004.12 phoebis_sennae_v1x1_core_27_80_2 cds 	1182	1182	1181	175	274	8	0.14805415	0.2318105	0.0067739203	0.03471634	0.19737238	1.0115335
pse1004.13 phoebis_sennae_v1x1_core_27_80_2 cds 	1695	1695	1694	262	291	52	0.15457228	0.17168142	0.030696576	0.024793388	1.1567382	0.9342885
pse1004.14 phoebis_sennae_v1x1_core_27_80_2 cds 	810	810	809	182	176	37	0.22469136	0.21728395	0.045735475	0.058096416	0.9367834	1.1899681
pse1004.15 phoebis_sennae_v1x1_core_27_80_2 cds 	504	504	503	109	101	7	0.21626984	0.20039682	0.013916501	0.03777336	0.32110217	0.8715631
pse1004.16 phoebis_sennae_v1x1_core_27_80_2 cds 	993	993	992	224	252	33	0.22557905	0.25377643	0.03326613	0.070564516	0.58110183	1.2326401
pse1004.17 phoebis_sennae_v1x1_core_27_80_2 cds 	777	777	776	211	187	59	0.27155727	0.24066924	0.076030925	0.082474224	1.1633443	1.2619328
pse1004.18 phoebis_sennae_v1x1_core_27_80_2 cds 	771	771	770	233	214	71	0.30220494	0.2775616	0.09220779	0.094805196	1.0992758	1.1302414
pse1004.19 phoebis_sennae_v1x1_core_27_80_2 cds 	1194	1194	1193	213	272	33	0.17839196	0.22780569	0.027661357	0.03939648	0.6806653	0.9694325
pse1004.20 phoebis_sennae_v1x1_core_27_80_2 cds 	7215	7215	7214	1569	1761	397	0.21746361	0.24407485	0.05503188	0.050041586	1.0368233	0.94280404
pse1004.21 phoebis_sennae_v1x1_core_27_80_2 cds 	888	888	887	239	232	65	0.26914415	0.26126125	0.07328072	0.090191655	1.042149	1.2826447
pse1004.22 phoebis_sennae_v1x1_core_27_80_2 cds 	612	612	611	142	170	38	0.23202614	0.2777778	0.062193125	0.060556464	0.96495694	0.93956333
pse10051.1 phoebis_sennae_v1x1_core_27_80_2 cds 	420	420	419	92	119	16	0.21904762	0.28333333	0.03818616	0.06921241	0.6152757	1.115187
pse10051.2 phoebis_sennae_v1x1_core_27_80_2 cds 	357	357	356	85	80	14	0.23809524	0.22408964	0.039325844	0.06741573	0.7370646	1.2635393
pse10051.3 phoebis_sennae_v1x1_core_27_80_2 cds 	438	438	437	100	110	18	0.2283105	0.25114155	0.04118993	0.05034325	0.7183674	0.8780046
pse10080.1 phoebis_sennae_v1x1_core_27_80_2 cds 	63	63	62	22	12	4	0.34920636	0.1904762	0.06451613	0.08064516	0.96994126	1.2124265
pse10088.1 phoebis_sennae_v1x1_core_27_80_2 cds 	12	12	11	2	3	1	0.16666667	0.25	0.09090909	0.0	2.1818182	0.0
pse10097.1 phoebis_sennae_v1x1_core_27_80_2 cds 	894	894	893	187	240	40	0.20917226	0.26845637	0.044792835	0.07390817	0.7976838	1.3161781
pse10097.2 phoebis_sennae_v1x1_core_27_80_2 cds 	939	939	938	224	215	40	0.23855165	0.22896698	0.042643923	0.04904051	0.78073186	0.89784163
pse10097.3 phoebis_sennae_v1x1_core_27_80_2 cds 	462	462	461	79	86	14	0.17099567	0.18614718	0.030368764	0.036876354	0.9540816	1.1585276
pse10097.4 phoebis_sennae_v1x1_core_27_80_2 cds 	15	15	14	0	1	0	0.0	0.06666667	0.0	0.0	NaN	NaN
pse1010.1 phoebis_sennae_v1x1_core_27_80_2 cds 	333	333	332	56	84	10	0.16816817	0.25225225	0.030120483	0.027108435	0.7100404	0.63903636
pse1010.2 phoebis_sennae_v1x1_core_27_80_2 cds 	396	396	395	110	125	43	0.2777778	0.31565657	0.10886076	0.103797466	1.2415351	1.1837893
pse1010.3 phoebis_sennae_v1x1_core_27_80_2 cds 	582	582	581	133	158	33	0.22852233	0.27147767	0.056798622	0.065404475	0.9155352	1.0542526
pse1010.4 phoebis_sennae_v1x1_core_27_80_2 cds 	327	327	326	72	82	15	0.22018349	0.25076452	0.04601227	0.04601227	0.8333411	0.8333411
pse1010.5 phoebis_sennae_v1x1_core_27_80_2 cds 	576	576	575	142	125	30	0.24652778	0.2170139	0.052173913	0.055652175	0.9752142	1.0402285
pse10130.1 phoebis_sennae_v1x1_core_27_80_2 cds 	1074	1074	1073	257	240	60	0.23929237	0.22346368	0.055917986	0.05312209	1.0457207	0.99343467
pse10130.2 phoebis_sennae_v1x1_core_27_80_2 cds 	318	318	317	55	80	5	0.17295597	0.25157234	0.01577287	0.04416404	0.36250353	1.01501
pse10130.3 phoebis_sennae_v1x1_core_27_80_2 cds 	639	639	638	154	203	54	0.24100156	0.31768388	0.0846395	0.07680251	1.1054982	1.0031374
pse10130.4 phoebis_sennae_v1x1_core_27_80_2 cds 	891	891	890	212	271	50	0.2379349	0.30415264	0.056179777	0.06741573	0.77630126	0.93156147
pse10143.1 phoebis_sennae_v1x1_core_27_80_2 cds 	1245	1245	1244	244	320	83	0.19598393	0.2570281	0.066720255	0.05305466	1.3245142	1.0532281
pse10143.2 phoebis_sennae_v1x1_core_27_80_2 cds 	651	651	650	185	167	44	0.2841782	0.2565284	0.06769231	0.078461535	0.9285667	1.0762931
pse10149.1 phoebis_sennae_v1x1_core_27_80_2 cds 	9	9	8	1	0	0	0.11111111	0.0	0.0	0.0	NaN	NaN
pse1014.1 phoebis_sennae_v1x1_core_27_80_2 cds 	150	150	149	30	23	3	0.2	0.15333334	0.020134227	0.026845638	0.6565509	0.8754012
pse1014.2 phoebis_sennae_v1x1_core_27_80_2 cds 	1947	1947	1946	559	493	159	0.28710836	0.25321007	0.08170606	0.08427544	1.1238995	1.1592423
pse1014.3 phoebis_sennae_v1x1_core_27_80_2 cds 	1455	1455	1454	354	368	71	0.24329896	0.25292096	0.04883081	0.06946355	0.79354006	1.1288388
pse1014.4 phoebis_sennae_v1x1_core_27_80_2 cds 	1263	1263	1262	247	296	52	0.19556612	0.23436263	0.041204438	0.041204438	0.8990048	0.8990048
pse1014.5 phoebis_sennae_v1x1_core_27_80_2 cds 	774	774	773	167	182	24	0.21576227	0.23514211	0.031047866	0.043984476	0.6119639	0.8669489
pse1014.6 phoebis_sennae_v1x1_core_27_80_2 cds 	195	195	194	38	61	9	0.1948718	0.31282052	0.04639175	0.05670103	0.76102084	0.93013656
pse1017.15 phoebis_sennae_v1x1_core_27_80_2 cds 	18	18	17	2	5	0	0.11111111	0.2777778	0.0	0.0	0.0	0.0
pse1017.1 phoebis_sennae_v1x1_core_27_80_2 cds 	3357	3345	3343	923	808	215	0.27593422	0.24155456	0.06431349	0.061621297	0.96489775	0.9245066
pse1017.16 phoebis_sennae_v1x1_core_27_80_2 cds 	384	384	383	81	76	15	0.2109375	0.19791667	0.03916449	0.03916449	0.93811554	0.93811554
pse1017.2 phoebis_sennae_v1x1_core_27_80_2 cds 	3045	3045	3044	681	820	201	0.22364531	0.26929393	0.06603154	0.06110381	1.09639	1.0145698
pse1017.3 phoebis_sennae_v1x1_core_27_80_2 cds 	603	603	602	94	119	9	0.15588723	0.1973466	0.014950166	0.026578072	0.48596597	0.86393946
pse1017.4 phoebis_sennae_v1x1_core_27_80_2 cds 	3582	3582	3581	535	728	62	0.1493579	0.20323841	0.0173136	0.036023457	0.57036567	1.1867286
pse1017.5 phoebis_sennae_v1x1_core_27_80_2 cds 	747	747	746	129	165	24	0.17269076	0.22088353	0.03217158	0.038873993	0.84341234	1.0191232
pse1017.6 phoebis_sennae_v1x1_core_27_80_2 cds 	2259	2259	2258	327	365	41	0.14475432	0.16157591	0.018157661	0.024357839	0.7763396	1.0414312
