seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
XM_013284803.1 papilio_polytes_ppol1_core_27_80_2 cds 	1050	1050	1049	196	223	56	0.18666667	0.21238095	0.053384174	0.051477596	1.346574	1.2984821
XM_013281485.1 papilio_polytes_ppol1_core_27_80_2 cds 	1644	1644	1643	291	342	60	0.1770073	0.2080292	0.036518563	0.04199635	0.9917408	1.140502
XM_013283086.1 papilio_polytes_ppol1_core_27_80_2 cds 	1083	1083	1082	169	174	30	0.15604801	0.16066483	0.027726432	0.021256931	1.1058977	0.84785485
XM_013283417.1 papilio_polytes_ppol1_core_27_80_2 cds 	357	357	356	86	112	29	0.24089636	0.3137255	0.08146068	0.061797753	1.077874	0.8176974
XM_013292418.1 papilio_polytes_ppol1_core_27_80_2 cds 	429	429	428	112	129	39	0.26107225	0.3006993	0.091121495	0.07943925	1.1607207	1.0119103
XM_013293560.1 papilio_polytes_ppol1_core_27_80_2 cds 	738	738	737	212	166	48	0.2872629	0.22493225	0.0651289	0.061058346	1.007958	0.9449607
XM_013278038.1 papilio_polytes_ppol1_core_27_80_2 cds 	927	927	926	230	256	57	0.24811219	0.27615964	0.061555076	0.08099352	0.8983707	1.1820667
XM_013277777.1 papilio_polytes_ppol1_core_27_80_2 cds 	1125	1125	1124	177	219	34	0.15733333	0.19466667	0.03024911	0.032918148	0.98764366	1.0747887
XM_013277857.1 papilio_polytes_ppol1_core_27_80_2 cds 	930	930	929	144	176	24	0.15483871	0.18924731	0.02583423	0.02906351	0.8816298	0.99183357
XM_013279177.1 papilio_polytes_ppol1_core_27_80_2 cds 	639	639	638	106	144	21	0.1658842	0.22535211	0.03291536	0.031347964	0.8805053	0.83857656
XM_013278076.1 papilio_polytes_ppol1_core_27_80_2 cds 	825	825	824	163	157	32	0.19757576	0.19030303	0.03883495	0.02791262	1.0328647	0.74237144
XM_013278231.1 papilio_polytes_ppol1_core_27_80_2 cds 	609	609	608	116	118	23	0.1904762	0.19376026	0.03782895	0.024671054	1.0249882	0.66847056
XM_013278149.1 papilio_polytes_ppol1_core_27_80_2 cds 	609	609	608	116	118	23	0.1904762	0.19376026	0.03782895	0.024671054	1.0249882	0.66847056
XM_013292838.1 papilio_polytes_ppol1_core_27_80_2 cds 	2451	2451	2450	383	499	90	0.15626276	0.20359038	0.036734693	0.031020408	1.1546855	0.9750678
XM_013292916.1 papilio_polytes_ppol1_core_27_80_2 cds 	2337	2337	2336	364	472	85	0.15575524	0.20196834	0.036386985	0.03125	1.1566985	0.99339986
XM_013277966.1 papilio_polytes_ppol1_core_27_80_2 cds 	1095	1095	1094	249	304	64	0.22739726	0.27762556	0.058500916	0.07129799	0.92665476	1.1293604
XM_013293252.1 papilio_polytes_ppol1_core_27_80_2 cds 	1887	1887	1886	461	436	140	0.24430312	0.23105459	0.07423118	0.083244964	1.3150514	1.4747362
XM_013292716.1 papilio_polytes_ppol1_core_27_80_2 cds 	3006	3006	3005	779	517	136	0.25914836	0.17198935	0.045257904	0.03560732	1.015417	0.79889417
XM_013292641.1 papilio_polytes_ppol1_core_27_80_2 cds 	3024	3024	3023	785	522	137	0.25958994	0.17261904	0.04531922	0.0357261	1.0113602	0.7972766
XM_013277656.1 papilio_polytes_ppol1_core_27_80_2 cds 	1383	1383	1382	328	332	83	0.23716559	0.24005784	0.060057886	0.055716354	1.0548786	0.9786223
XM_013293356.1 papilio_polytes_ppol1_core_27_80_2 cds 	1713	1713	1712	354	338	83	0.206655	0.19731465	0.048481308	0.03271028	1.188965	0.8021933
XM_013293436.1 papilio_polytes_ppol1_core_27_80_2 cds 	1572	1572	1571	330	300	79	0.20992367	0.1908397	0.050286442	0.031190325	1.2552227	0.77855587
XM_013280346.1 papilio_polytes_ppol1_core_27_80_2 cds 	2658	2658	2657	638	831	211	0.2400301	0.31264108	0.07941287	0.09220926	1.0582278	1.2287478
XM_013278619.1 papilio_polytes_ppol1_core_27_80_2 cds 	402	402	401	113	101	21	0.28109452	0.25124377	0.052369077	0.0648379	0.74152744	0.9180816
XM_013293985.1 papilio_polytes_ppol1_core_27_80_2 cds 	1593	1593	1592	305	332	68	0.19146265	0.2084118	0.042713568	0.03454774	1.070433	0.8657914
XM_013293660.1 papilio_polytes_ppol1_core_27_80_2 cds 	1605	1605	1604	328	341	58	0.20436136	0.21246105	0.0361596	0.034289278	0.83280915	0.7897329
XM_013293876.1 papilio_polytes_ppol1_core_27_80_2 cds 	1596	1596	1595	298	322	61	0.1867168	0.20175439	0.038244516	0.038871475	1.0152261	1.0318692
XM_013293561.1 papilio_polytes_ppol1_core_27_80_2 cds 	1608	1608	1607	233	339	46	0.1449005	0.2108209	0.028624767	0.026757933	0.9370406	0.87592924
XM_013278513.1 papilio_polytes_ppol1_core_27_80_2 cds 	591	591	590	94	120	16	0.15905245	0.20304568	0.027118644	0.027118644	0.8397187	0.8397187
XM_013278350.1 papilio_polytes_ppol1_core_27_80_2 cds 	618	618	617	100	119	15	0.16181229	0.19255663	0.024311183	0.024311183	0.7802542	0.7802542
XM_013278433.1 papilio_polytes_ppol1_core_27_80_2 cds 	618	618	617	100	119	15	0.16181229	0.19255663	0.024311183	0.024311183	0.7802542	0.7802542
XM_013293773.1 papilio_polytes_ppol1_core_27_80_2 cds 	1605	1605	1604	257	349	53	0.16012461	0.21744548	0.033042394	0.029925186	0.948993	0.85946536
XM_013293134.1 papilio_polytes_ppol1_core_27_80_2 cds 	1974	1974	1973	400	418	81	0.20263425	0.21175279	0.041054234	0.039026864	0.95678854	0.9095397
XM_013293017.1 papilio_polytes_ppol1_core_27_80_2 cds 	1935	1935	1934	422	429	98	0.21808785	0.22170542	0.05067218	0.037228543	1.0480013	0.76996017
XM_013294106.1 papilio_polytes_ppol1_core_27_80_2 cds 	1416	1416	1415	192	256	52	0.13559322	0.18079096	0.036749117	0.028975265	1.4991056	1.181987
XM_013294186.1 papilio_polytes_ppol1_core_27_80_2 cds 	1236	1236	1235	158	220	48	0.12783171	0.17799352	0.038866397	0.02591093	1.7081716	1.1387811
XM_013281486.1 papilio_polytes_ppol1_core_27_80_2 cds 	1989	1989	1988	460	358	92	0.231272	0.17998995	0.046277665	0.0417505	1.111732	1.0029756
XM_013283206.1 papilio_polytes_ppol1_core_27_80_2 cds 	429	429	428	67	81	12	0.15617716	0.18881118	0.028037382	0.039719626	0.9508067	1.3469762
XM_013284680.1 papilio_polytes_ppol1_core_27_80_2 cds 	717	717	716	82	145	19	0.114365414	0.20223153	0.026536312	0.018156424	1.1473529	0.7850309
XM_013284574.1 papilio_polytes_ppol1_core_27_80_2 cds 	1305	1305	1304	138	259	42	0.105747126	0.19846743	0.032208588	0.01303681	1.5346661	0.62117434
XM_013282161.1 papilio_polytes_ppol1_core_27_80_2 cds 	1350	1350	1349	213	282	51	0.15777777	0.20888889	0.03780578	0.028910303	1.1470889	0.8771856
XM_013282794.1 papilio_polytes_ppol1_core_27_80_2 cds 	648	648	647	106	159	24	0.16358025	0.24537037	0.03709428	0.041731067	0.92417437	1.0396962
