seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
FG120122_1	100	100	99	22	21	4	0.22	0.21	0.04040404	0.04040404	0.87454635	0.87454635
FG120122_2	100	100	99	27	22	8	0.27	0.22	0.08080808	0.04040404	1.3604053	0.68020266
FG120122_3	100	100	99	28	26	9	0.28	0.26	0.09090909	0.09090909	1.2487514	1.2487514
FG120122_4	100	100	99	23	33	7	0.23	0.33	0.07070707	0.1010101	0.93158185	1.3308313
FG120122_5	100	100	99	25	23	4	0.25	0.23	0.04040404	0.07070707	0.702679	1.2296882
FG120122_6	100	100	99	33	27	11	0.33	0.27	0.11111111	0.09090909	1.2470381	1.020304
FG120122_7	100	100	99	31	40	16	0.31	0.4	0.16161616	0.14141414	1.303356	1.1404365
FG120122_8	100	100	99	28	26	5	0.28	0.26	0.05050505	0.04040404	0.69375074	0.5550006
FG120122_9	100	100	99	19	39	8	0.19	0.39	0.08080808	0.08080808	1.0905275	1.0905275
FG120122_10	100	100	99	27	27	17	0.27	0.27	0.17171717	0.060606062	2.3555164	0.83135885
FG120122_11	100	100	99	26	28	8	0.26	0.28	0.08080808	0.060606062	1.1100012	0.83250093
FG120122_12	100	100	99	23	28	7	0.23	0.28	0.07070707	0.05050505	1.0979358	0.7842399
FG120122_13	100	100	99	23	19	3	0.23	0.19	0.030303031	0.04040404	0.6934332	0.9245776
FG120122_14	100	100	99	22	30	7	0.22	0.3	0.07070707	0.060606062	1.0713192	0.9182737
FG120122_15	101	101	100	32	27	5	0.31683168	0.26732674	0.05	0.09	0.5903356	1.0626042
FG120122_16	101	101	100	28	29	8	0.27722773	0.28712872	0.08	0.08	1.0050246	1.0050246
FG120122_17	101	101	100	23	32	7	0.22772278	0.31683168	0.07	0.07	0.9702038	0.9702038
FG120122_18	101	101	100	26	32	13	0.25742576	0.31683168	0.13	0.08	1.5939062	0.9808653
FG120122_19	101	101	100	23	29	5	0.22772278	0.28712872	0.05	0.05	0.7646926	0.7646926
FG120122_20	101	101	100	27	29	7	0.26732674	0.28712872	0.07	0.07	0.91196674	0.91196674
FG120122_21	101	101	100	26	30	7	0.25742576	0.2970297	0.07	0.08	0.9154743	1.0462563
FG120122_22	101	101	100	25	24	4	0.24752475	0.23762377	0.04	0.06	0.68006665	1.0201
FG120122_23	101	101	100	46	22	10	0.45544556	0.21782178	0.1	0.11	1.008004	1.1088043
FG120122_24	101	101	100	36	33	13	0.35643566	0.32673267	0.13	0.07	1.116271	0.60106903
FG120122_25	101	101	100	33	30	10	0.32673267	0.2970297	0.1	0.12	1.0304041	1.2364849
FG120122_26	101	101	100	27	28	10	0.26732674	0.27722773	0.1	0.08	1.3493385	1.0794708
FG120122_27	101	101	100	36	23	11	0.35643566	0.22772278	0.11	0.07	1.3552052	0.86240333
FG120122_28	101	101	100	27	19	3	0.26732674	0.18811882	0.03	0.08	0.59654963	1.5907991
FG120122_29	101	101	100	29	22	7	0.28712872	0.21782178	0.07	0.06	1.119232	0.9593417
FG120122_30	102	102	101	24	20	7	0.23529412	0.19607843	0.06930693	0.02970297	1.5022277	0.6438119
FG120122_31	102	102	101	29	19	3	0.28431374	0.18627451	0.02970297	0.05940594	0.5608524	1.1217048
FG120122_32	102	102	101	24	16	5	0.23529412	0.15686275	0.04950495	0.03960396	1.3412746	1.0730197
FG120122_33	102	102	101	18	20	1	0.1764706	0.19607843	0.00990099	0.04950495	0.28613862	1.430693
FG120122_34	102	102	101	23	20	2	0.2254902	0.19607843	0.01980198	0.02970297	0.44786912	0.6718037
FG120122_35	102	102	101	26	27	4	0.25490198	0.2647059	0.03960396	0.06930693	0.58695096	1.0271642
FG120122_36	103	103	102	17	20	4	0.16504854	0.19417475	0.039215688	0.04901961	1.2236449	1.529556
FG120122_37	103	103	102	28	21	5	0.27184466	0.2038835	0.04901961	0.04901961	0.88443714	0.88443714
FG120122_38	103	103	102	20	20	7	0.19417475	0.19417475	0.068627454	0.019607844	1.8201717	0.52004904
FG120122_39	103	103	102	22	36	9	0.21359223	0.34951457	0.0882353	0.068627454	1.1819296	0.9192786
FG120122_40	103	103	102	29	26	9	0.2815534	0.2524272	0.0882353	0.068627454	1.2414964	0.96560836
FG120122_41	104	104	103	31	30	12	0.29807693	0.28846154	0.116504855	0.106796116	1.3549639	1.2420503
FG120122_42	104	104	103	21	32	6	0.20192307	0.30769232	0.058252428	0.058252428	0.93758667	0.93758667
FG120122_43	104	104	103	24	35	6	0.23076923	0.33653846	0.058252428	0.0776699	0.7500694	1.0000925
FG120122_44	104	104	103	23	20	2	0.22115384	0.1923077	0.019417476	0.048543688	0.45656395	1.1414099
FG120122_45	104	104	103	31	32	10	0.29807693	0.30769232	0.097087376	0.106796116	1.0585655	1.164422
FG120122_46	104	104	103	39	21	10	0.375	0.20192307	0.097087376	0.08737864	1.2821698	1.153953
FG120122_47	104	104	103	35	28	9	0.33653846	0.26923078	0.08737864	0.0776699	0.9643749	0.8572221
FG120122_48	104	104	103	10	24	4	0.09615385	0.23076923	0.03883495	0.03883495	1.7501619	1.7501619
FG120122_49	104	104	103	16	35	7	0.15384616	0.33653846	0.067961164	0.03883495	1.3126212	0.7500693
FG120122_50	105	105	104	35	27	10	0.33333334	0.25714287	0.09615385	0.07692308	1.1217948	0.89743584
FG120122_51	105	105	104	29	23	10	0.2761905	0.21904762	0.09615385	0.028846154	1.5893495	0.47680482
FG120122_52	105	105	104	22	25	6	0.20952381	0.23809524	0.057692308	0.067307696	1.1564685	1.3492134
FG120122_53	105	105	104	30	15	4	0.2857143	0.14285715	0.03846154	0.067307696	0.94230765	1.6490384
FG120122_54	105	105	104	23	35	5	0.21904762	0.33333334	0.048076924	0.057692308	0.6584448	0.7901338
FG120122_55	105	105	104	20	47	9	0.1904762	0.44761905	0.086538464	0.10576923	1.0149857	1.2405381
FG120122_56	105	105	104	24	20	5	0.22857143	0.1904762	0.048076924	0.067307696	1.1042669	1.5459737
FG120122_57	105	105	104	24	34	7	0.22857143	0.32380953	0.067307696	0.03846154	0.90939623	0.519655
FG120122_58	105	105	104	27	23	6	0.25714287	0.21904762	0.057692308	0.048076924	1.0242474	0.8535395
FG120122_59	105	105	104	20	30	6	0.1904762	0.2857143	0.057692308	0.01923077	1.0600961	0.3533654
FG120122_60	105	105	104	28	37	9	0.26666668	0.35238096	0.086538464	0.086538464	0.9209329	0.9209329
FG120122_61	105	105	104	19	29	5	0.18095239	0.2761905	0.048076924	0.07692308	0.9619747	1.5391595
FG120122_62	105	105	104	21	26	4	0.2	0.24761905	0.03846154	0.067307696	0.7766272	1.3590976
FG120122_63	106	106	105	17	21	1	0.16037735	0.1981132	0.00952381	0.04761905	0.2997466	1.4987329
FG120122_64	106	106	105	23	16	2	0.21698113	0.1509434	0.01904762	0.04761905	0.5815735	1.4539337
FG120122_65	106	106	105	38	28	11	0.35849056	0.26415095	0.104761906	0.16190477	1.1063015	1.7097387
FG120122_66	106	106	105	23	26	7	0.21698113	0.24528302	0.06666667	0.057142857	1.2526199	1.0736741
FG120122_67	106	106	105	35	25	8	0.3301887	0.23584905	0.07619048	0.08571429	0.9783728	1.1006694
FG120122_68	106	106	105	28	24	8	0.26415095	0.2264151	0.07619048	0.04761905	1.2739229	0.7962018
FG120122_69	106	106	105	27	26	6	0.254717	0.24528302	0.057142857	0.06666667	0.9146113	1.0670465
FG120122_70	106	106	105	29	23	4	0.2735849	0.21698113	0.03809524	0.07619048	0.6417363	1.2834727
FG120122_71	106	106	105	36	24	8	0.33962265	0.2264151	0.07619048	0.03809524	0.990829	0.4954145
FG120122_72	106	106	105	30	29	12	0.28301886	0.2735849	0.114285715	0.0952381	1.4759935	1.2299945
FG120122_73	106	106	105	17	28	4	0.16037735	0.26415095	0.03809524	0.04761905	0.8992397	1.1240497
FG120122_74	106	106	105	21	30	3	0.1981132	0.28301886	0.028571429	0.01904762	0.50956917	0.3397128
FG120122_75	107	107	106	43	32	17	0.40186915	0.2990654	0.16037735	0.14150943	1.3344189	1.1774285
FG120122_76	107	107	106	29	32	10	0.27102804	0.2990654	0.094339624	0.13207547	1.1638948	1.6294527
FG120122_77	107	107	106	25	32	10	0.23364486	0.2990654	0.094339624	0.06603774	1.3501179	0.94508255
FG120122_78	107	107	106	34	23	8	0.317757	0.21495327	0.0754717	0.03773585	1.1049559	0.55247796
FG120122_79	107	107	106	23	29	9	0.21495327	0.27102804	0.08490566	0.08490566	1.4573987	1.4573987
