seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
XM_013342456.1 amyelois_transitella_v1_core_27_80_2 cds 	390	390	389	97	125	26	0.24871795	0.32051283	0.06683805	0.08483291	0.8384385	1.0641719
XM_013345084.1 amyelois_transitella_v1_core_27_80_2 cds 	996	996	995	269	172	7	0.27008033	0.17269076	0.007035176	0.034170855	0.15083875	0.73264533
XM_013327763.1 amyelois_transitella_v1_core_27_80_2 cds 	795	793	792	143	141	30	0.18032786	0.1778058	0.03787879	0.04040404	1.1813738	1.2601321
XM_013328921.1 amyelois_transitella_v1_core_27_80_2 cds 	409	409	408	87	81	7	0.21271394	0.19804402	0.017156864	0.039215688	0.40726793	0.93089813
XM_013330056.1 amyelois_transitella_v1_core_27_80_2 cds 	624	624	623	86	146	12	0.13782051	0.23397435	0.019261638	0.033707865	0.5973255	1.0453197
XM_013332346.1 amyelois_transitella_v1_core_27_80_2 cds 	840	840	839	222	171	35	0.2642857	0.20357142	0.04171633	0.071513705	0.7753818	1.3292259
XM_013333492.1 amyelois_transitella_v1_core_27_80_2 cds 	891	891	890	233	172	51	0.26150393	0.19304153	0.05730337	0.050561797	1.1351445	1.0015981
XM_013334659.1 amyelois_transitella_v1_core_27_80_2 cds 	649	649	648	140	132	27	0.21571648	0.20338982	0.041666668	0.050925925	0.9496777	1.1607171
XM_013335786.1 amyelois_transitella_v1_core_27_80_2 cds 	465	465	464	81	111	11	0.17419355	0.23870967	0.023706896	0.040948275	0.5701283	0.98476714
XM_013336910.1 amyelois_transitella_v1_core_27_80_2 cds 	765	765	764	113	121	8	0.14771242	0.15816994	0.010471204	0.02225131	0.4481833	0.95238954
XM_013338788.1 amyelois_transitella_v1_core_27_80_2 cds 	862	862	861	214	176	42	0.24825986	0.20417634	0.048780486	0.04761905	0.9623526	0.9394395
XM_013339942.1 amyelois_transitella_v1_core_27_80_2 cds 	496	496	495	62	94	11	0.125	0.18951613	0.022222223	0.026262626	0.9380615	1.1086181
XM_013341765.1 amyelois_transitella_v1_core_27_80_2 cds 	641	641	640	174	147	40	0.27145085	0.22932917	0.0625	0.05	1.0039903	0.80319226
XM_013342794.1 amyelois_transitella_v1_core_27_80_2 cds 	690	690	689	124	179	30	0.17971015	0.25942028	0.043541364	0.052249637	0.933954	1.1207448
XM_013344273.1 amyelois_transitella_v1_core_27_80_2 cds 	1064	1064	1063	213	257	43	0.20018797	0.24154136	0.040451553	0.043273754	0.83657664	0.89494246
