seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
lac100068.1.mRNA lerema_accius_v1x1_core_27_80_2 cds 	177	175	174	34	52	7	0.19428572	0.29714286	0.040229887	0.057471264	0.6968553	0.99550754
lac1000.1.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1935	1935	1934	491	532	140	0.25374678	0.2749354	0.07238883	0.07083764	1.0376248	1.0153899
lac1000.2.mRNA lerema_accius_v1x1_core_27_80_2 cds 	345	345	344	89	123	37	0.25797102	0.35652173	0.10755814	0.11046512	1.1694627	1.2010698
lac1000.3.mRNA lerema_accius_v1x1_core_27_80_2 cds 	2448	2448	2447	618	673	177	0.25245097	0.2749183	0.07233347	0.08459338	1.0422181	1.2188653
lac1000.4.mRNA lerema_accius_v1x1_core_27_80_2 cds 	2052	2052	2051	544	589	161	0.2651072	0.28703704	0.0784983	0.09556314	1.0315748	1.2558303
lac1000.5.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1074	1074	1073	228	245	47	0.2122905	0.22811918	0.04380242	0.05778192	0.90449417	1.1931626
lac1000.6.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1347	1347	1346	394	408	146	0.29250187	0.30289534	0.10846954	0.09138187	1.2242963	1.0314277
lac1000.7.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1170	1170	1169	235	306	55	0.2008547	0.26153848	0.04704876	0.05560308	0.895634	1.0584766
lac1000.8.mRNA lerema_accius_v1x1_core_27_80_2 cds 	531	531	530	72	126	11	0.13559322	0.23728813	0.020754717	0.035849057	0.64506406	1.1142015
lac1000.9.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1464	1464	1463	335	407	81	0.22882514	0.27800545	0.055365685	0.053315107	0.8703293	0.83809495
lac1000.10.mRNA lerema_accius_v1x1_core_27_80_2 cds 	852	852	851	228	248	74	0.26760563	0.29107982	0.08695652	0.079905994	1.1163357	1.025822
lac1000.11.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1080	1080	1079	195	249	23	0.18055555	0.23055555	0.021316033	0.0407785	0.5120589	0.979591
lac1000.12.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1194	1194	1193	245	297	49	0.20519263	0.24874371	0.041072924	0.051131602	0.8047144	1.0017874
lac1000.13.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1437	1437	1436	370	395	108	0.25748086	0.2748782	0.07520892	0.05988858	1.062635	0.8461722
lac1000.14.mRNA lerema_accius_v1x1_core_27_80_2 cds 	2397	2397	2396	458	501	95	0.19107218	0.20901126	0.039649416	0.041736227	0.992818	1.0450716
lac1000.15.mRNA lerema_accius_v1x1_core_27_80_2 cds 	843	843	842	212	190	38	0.25148278	0.22538553	0.04513064	0.057007127	0.7962275	1.0057611
lac1000.16.mRNA lerema_accius_v1x1_core_27_80_2 cds 	2691	2691	2690	474	563	94	0.1761427	0.20921591	0.034944236	0.039405204	0.9482355	1.069287
lac1000.17.mRNA lerema_accius_v1x1_core_27_80_2 cds 	1569	1569	1568	337	388	72	0.21478648	0.24729127	0.045918368	0.06696428	0.86451143	1.2607458
lac1000.18.mRNA lerema_accius_v1x1_core_27_80_2 cds 	516	516	515	146	165	67	0.28294572	0.31976745	0.13009709	0.10097087	1.437905	1.1159859
