seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
BGIBMGA008184-RA bombyx_mori_core_27_80_1 cds 	1836	1834	1832	305	353	44	0.16630316	0.19247547	0.024017468	0.03548035	0.75032836	1.1084396
BGIBMGA012759-RA bombyx_mori_core_27_80_1 cds 	1104	1104	1103	317	309	86	0.2871377	0.2798913	0.07796918	0.09066183	0.97016	1.128093
BGIBMGA010799-RA bombyx_mori_core_27_80_1 cds 	864	864	863	153	192	30	0.17708333	0.22222222	0.034762457	0.045191195	0.8833754	1.148388
BGIBMGA006739-RA bombyx_mori_core_27_80_1 cds 	522	522	521	87	90	12	0.16666667	0.1724138	0.02303263	0.032629557	0.8015355	1.1355085
BGIBMGA009247-RA bombyx_mori_core_27_80_1 cds 	666	666	665	121	152	25	0.18168168	0.22822823	0.037593983	0.039097745	0.9066462	0.9429121
BGIBMGA014584-RA bombyx_mori_core_27_80_1 cds 	402	402	401	112	111	38	0.27860695	0.2761194	0.09476309	0.08229426	1.2318288	1.069746
BGIBMGA011311-RA bombyx_mori_core_27_80_1 cds 	1344	1344	1343	305	331	102	0.22693452	0.24627976	0.07594936	0.06552494	1.358923	1.1724042
BGIBMGA000523-RA bombyx_mori_core_27_80_1 cds 	489	489	488	116	114	32	0.23721881	0.23312883	0.06557377	0.05327869	1.1857278	0.9634039
BGIBMGA014374-RA bombyx_mori_core_27_80_1 cds 	2097	2097	2096	456	465	104	0.21745351	0.22174536	0.049618322	0.053912215	1.0290136	1.1180629
BGIBMGA013443-RA bombyx_mori_core_27_80_1 cds 	384	384	383	126	125	39	0.328125	0.32552084	0.10182767	0.091383815	0.95333976	0.8555614
BGIBMGA008391-RA bombyx_mori_core_27_80_1 cds 	1473	1473	1472	260	309	25	0.17651053	0.20977597	0.016983695	0.039402176	0.4586758	1.0641279
BGIBMGA006483-RA bombyx_mori_core_27_80_1 cds 	1245	1245	1244	295	255	54	0.23694779	0.20481928	0.04340836	0.05466238	0.89443725	1.1263283
BGIBMGA014473-RA bombyx_mori_core_27_80_1 cds 	543	543	542	98	111	4	0.18047883	0.2044199	0.007380074	0.04612546	0.20003743	1.2502339
BGIBMGA011591-RA bombyx_mori_core_27_80_1 cds 	162	162	161	33	44	13	0.2037037	0.27160493	0.08074534	0.049689442	1.4594221	0.8981059
BGIBMGA013605-RA bombyx_mori_core_27_80_1 cds 	963	963	962	237	295	69	0.24610592	0.30633438	0.07172557	0.07172557	0.9513848	0.9513848
BGIBMGA011738-RA bombyx_mori_core_27_80_1 cds 	1311	1311	1310	406	388	135	0.30968726	0.2959573	0.103053436	0.10610687	1.1243721	1.1576868
BGIBMGA002548-RA bombyx_mori_core_27_80_1 cds 	318	318	317	91	79	27	0.2861635	0.24842767	0.0851735	0.06309148	1.1980923	0.8874757
BGIBMGA000945-RA bombyx_mori_core_27_80_1 cds 	372	372	371	100	89	31	0.26881722	0.2392473	0.08355795	0.06738544	1.2992228	1.0477604
BGIBMGA007956-RA bombyx_mori_core_27_80_1 cds 	585	585	584	154	133	32	0.26324788	0.22735043	0.05479452	0.049657535	0.9155382	0.8297065
BGIBMGA009465-RA bombyx_mori_core_27_80_1 cds 	1308	1308	1307	366	374	112	0.2798165	0.28593272	0.08569243	0.10099465	1.071039	1.262296
BGIBMGA014098-RA bombyx_mori_core_27_80_1 cds 	903	903	902	212	221	59	0.23477298	0.24473976	0.0654102	0.05321508	1.1383946	0.9261516
BGIBMGA001435-RA bombyx_mori_core_27_80_1 cds 	1431	1431	1430	325	399	103	0.2271139	0.278826	0.072027974	0.06573427	1.1374288	1.0380417
BGIBMGA001242-RA bombyx_mori_core_27_80_1 cds 	1932	1932	1931	452	490	130	0.23395444	0.2536232	0.067322634	0.059554636	1.1345949	1.0036801
BGIBMGA003433-RA bombyx_mori_core_27_80_1 cds 	978	978	977	153	200	12	0.15644172	0.20449898	0.012282497	0.04094166	0.38392198	1.27974
BGIBMGA009359-RA bombyx_mori_core_27_80_1 cds 	4560	4560	4559	1022	1182	258	0.2241228	0.25921053	0.056591358	0.062733054	0.9741177	1.0798359
BGIBMGA001302-RA bombyx_mori_core_27_80_1 cds 	498	498	497	115	136	22	0.2309237	0.27309236	0.044265594	0.06841046	0.70192105	1.084787
BGIBMGA009027-RA bombyx_mori_core_27_80_1 cds 	2091	2091	2090	531	383	93	0.25394547	0.18316595	0.04449761	0.043062203	0.95664644	0.92578685
BGIBMGA005155-RA bombyx_mori_core_27_80_1 cds 	897	897	896	181	181	42	0.20178372	0.20178372	0.046875	0.04799107	1.1512485	1.1786591
BGIBMGA014110-RA bombyx_mori_core_27_80_1 cds 	1710	1710	1709	468	460	158	0.2736842	0.26900584	0.09245173	0.08367466	1.2557511	1.1365342
BGIBMGA011405-RA bombyx_mori_core_27_80_1 cds 	2904	2904	2903	854	811	253	0.29407713	0.27926996	0.08715122	0.085428864	1.0611775	1.0402055
BGIBMGA013173-RA bombyx_mori_core_27_80_1 cds 	1209	1209	1208	404	326	126	0.33416048	0.26964432	0.104304634	0.095198676	1.1575966	1.0565366
BGIBMGA010384-RA bombyx_mori_core_27_80_1 cds 	1146	1146	1145	289	325	103	0.2521815	0.28359511	0.08995633	0.086462885	1.2578236	1.2089761
BGIBMGA002953-RA bombyx_mori_core_27_80_1 cds 	1485	1485	1484	292	324	38	0.196633	0.21818182	0.025606468	0.055256065	0.5968631	1.2879678
BGIBMGA012904-RA bombyx_mori_core_27_80_1 cds 	801	801	800	127	179	30	0.15855181	0.22347066	0.0375	0.025	1.0583749	0.7055833
BGIBMGA004039-RA bombyx_mori_core_27_80_1 cds 	1128	1128	1127	161	219	13	0.14273049	0.19414894	0.0115350485	0.019520853	0.41626284	0.7044448
BGIBMGA002518-RA bombyx_mori_core_27_80_1 cds 	1944	1944	1943	423	472	116	0.2175926	0.24279836	0.05970149	0.05043747	1.1300439	0.9546923
BGIBMGA014337-RA bombyx_mori_core_27_80_1 cds 	756	756	755	170	169	30	0.22486773	0.22354497	0.0397351	0.042384107	0.79046434	0.84316194
BGIBMGA004727-RA bombyx_mori_core_27_80_1 cds 	834	834	833	169	203	42	0.2026379	0.24340528	0.05042017	0.054021608	1.0222418	1.0952591
BGIBMGA005051-RA bombyx_mori_core_27_80_1 cds 	1032	1032	1031	220	239	31	0.21317829	0.23158915	0.030067895	0.056256063	0.6090344	1.1394838
BGIBMGA001678-RA bombyx_mori_core_27_80_1 cds 	1047	1047	1046	282	294	93	0.26934096	0.28080228	0.08891013	0.076481834	1.1755692	1.0112424
BGIBMGA004527-RA bombyx_mori_core_27_80_1 cds 	1380	1380	1379	263	324	68	0.19057971	0.2347826	0.049311094	0.042059463	1.102052	0.93998545
BGIBMGA012951-RA bombyx_mori_core_27_80_1 cds 	531	530	528	180	118	42	0.33962265	0.22264151	0.07954545	0.10795455	1.0519923	1.4277039
BGIBMGA006147-RA bombyx_mori_core_27_80_1 cds 	774	774	773	183	213	67	0.2364341	0.2751938	0.086675294	0.069857694	1.3321297	1.0736567
BGIBMGA007750-RA bombyx_mori_core_27_80_1 cds 	729	729	728	143	158	16	0.19615912	0.21673526	0.021978023	0.054945055	0.51695234	1.2923808
BGIBMGA007228-RA bombyx_mori_core_27_80_1 cds 	3720	3720	3719	811	879	187	0.21801075	0.23629032	0.050282333	0.04786233	0.9760938	0.9291161
BGIBMGA003751-RA bombyx_mori_core_27_80_1 cds 	690	690	689	166	146	35	0.24057971	0.21159421	0.05079826	0.06531204	0.9978978	1.2830113
BGIBMGA007718-RA bombyx_mori_core_27_80_1 cds 	3864	3864	3863	984	947	259	0.25465837	0.24508281	0.06704634	0.060833547	1.0742472	0.9747031
BGIBMGA007206-RA bombyx_mori_core_27_80_1 cds 	1137	1137	1136	221	221	21	0.19437115	0.19437115	0.018485915	0.03697183	0.4893024	0.9786048
BGIBMGA008506-RA bombyx_mori_core_27_80_1 cds 	1698	1698	1697	461	425	124	0.27149588	0.25029448	0.073070124	0.08131997	1.0752892	1.1966928
BGIBMGA009304-RA bombyx_mori_core_27_80_1 cds 	225	225	224	66	60	28	0.29333332	0.26666668	0.125	0.084821425	1.5980114	1.0843648
BGIBMGA009248-RA bombyx_mori_core_27_80_1 cds 	1479	1479	1478	375	351	80	0.2535497	0.23732251	0.054127198	0.05277402	0.8995256	0.87703747
BGIBMGA006845-RA bombyx_mori_core_27_80_1 cds 	1041	1041	1040	308	338	120	0.29586935	0.3246878	0.115384616	0.10480769	1.2011077	1.0910062
BGIBMGA013984-RA bombyx_mori_core_27_80_1 cds 	222	222	221	55	60	14	0.24774775	0.27027026	0.06334842	0.054298643	0.94607997	0.8109256
BGIBMGA013388-RA bombyx_mori_core_27_80_1 cds 	264	264	263	80	76	14	0.3030303	0.28787878	0.05323194	0.08745247	0.6102061	1.0024815
BGIBMGA003028-RA bombyx_mori_core_27_80_1 cds 	750	750	749	123	178	18	0.164	0.23733333	0.024032043	0.036048066	0.6174305	0.9261458
BGIBMGA008549-RA bombyx_mori_core_27_80_1 cds 	273	273	272	91	75	30	0.33333334	0.2747253	0.11029412	0.0992647	1.2044116	1.0839704
BGIBMGA013448-RA bombyx_mori_core_27_80_1 cds 	954	954	953	262	263	85	0.2746331	0.27568135	0.089192025	0.07974816	1.1780554	1.0533202
BGIBMGA010743-RA bombyx_mori_core_27_80_1 cds 	1275	1275	1274	331	339	84	0.25960785	0.26588234	0.06593407	0.07692308	0.95521814	1.1144211
BGIBMGA011573-RA bombyx_mori_core_27_80_1 cds 	291	291	290	70	78	14	0.24054983	0.26804122	0.048275862	0.07931034	0.7487268	1.2300512
BGIBMGA008216-RA bombyx_mori_core_27_80_1 cds 	150	150	149	42	44	14	0.28	0.29333332	0.093959734	0.08053691	1.1439903	0.98056304
BGIBMGA008021-RA bombyx_mori_core_27_80_1 cds 	858	858	857	133	163	24	0.15501165	0.18997669	0.028004667	0.03967328	0.95096767	1.3472042
BGIBMGA008870-RA bombyx_mori_core_27_80_1 cds 	1353	1353	1352	246	266	34	0.18181819	0.19660015	0.02514793	0.031804733	0.7035275	0.8897553
BGIBMGA000741-RA bombyx_mori_core_27_80_1 cds 	474	474	473	173	147	53	0.3649789	0.31012657	0.11205074	0.07610994	0.98993796	0.6724107
BGIBMGA003934-RA bombyx_mori_core_27_80_1 cds 	747	747	746	202	278	72	0.270415	0.37215528	0.09651475	0.13270777	0.9590444	1.318686
BGIBMGA002156-RA bombyx_mori_core_27_80_1 cds 	909	908	906	299	290	110	0.32929516	0.31938326	0.121412806	0.12913907	1.1544284	1.2278919
BGIBMGA005101-RA bombyx_mori_core_27_80_1 cds 	1050	1050	1049	367	298	127	0.3495238	0.2838095	0.12106768	0.124880835	1.2204627	1.2589024
BGIBMGA001893-RA bombyx_mori_core_27_80_1 cds 	384	384	383	60	77	12	0.15625	0.20052083	0.03133159	0.02610966	1.0000068	0.833339
BGIBMGA011084-RA bombyx_mori_core_27_80_1 cds 	3819	3818	3816	745	781	202	0.19512834	0.20455736	0.05293501	0.04061845	1.3261956	1.0176253
BGIBMGA001272-RA bombyx_mori_core_27_80_1 cds 	2214	2214	2213	587	532	151	0.265131	0.24028906	0.06823317	0.057840034	1.0710285	0.90789163
BGIBMGA003603-RA bombyx_mori_core_27_80_1 cds 	264	264	263	101	78	37	0.38257575	0.29545453	0.14068441	0.13307984	1.2446232	1.1773461
BGIBMGA005461-RA bombyx_mori_core_27_80_1 cds 	795	795	794	128	159	27	0.16100629	0.2	0.03400504	0.028967254	1.0560158	0.89956903
BGIBMGA006993-RA bombyx_mori_core_27_80_1 cds 	1299	1299	1298	313	300	85	0.24095458	0.23094688	0.065485366	0.053158704	1.1767846	0.95527214
BGIBMGA009063-RA bombyx_mori_core_27_80_1 cds 	357	357	356	96	106	22	0.26890758	0.29691878	0.061797753	0.08146068	0.773984	1.0202516
BGIBMGA003366-RA bombyx_mori_core_27_80_1 cds 	1221	1221	1220	374	390	139	0.3063063	0.31941032	0.11393443	0.13688524	1.1645284	1.3991096
