seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
MCINX007401-RA melitaea_cinxia_core_27_80_1 cds 	1239	1239	1238	278	371	75	0.2243745	0.29943502	0.060581584	0.08885299	0.90170515	1.3225008
MCINX001822-RA melitaea_cinxia_core_27_80_1 cds 	420	420	419	97	111	19	0.23095238	0.2642857	0.045346063	0.062052507	0.7429224	1.0166306
MCINX014622-RA melitaea_cinxia_core_27_80_1 cds 	963	963	962	187	202	17	0.19418484	0.20976116	0.017671518	0.031185031	0.43384388	0.7656068
MCINX009064-RA melitaea_cinxia_core_27_80_1 cds 	2157	2157	2156	400	486	87	0.18544275	0.22531293	0.040352505	0.048701297	0.96577185	1.1655867
MCINX009527-RA melitaea_cinxia_core_27_80_1 cds 	2106	2106	2105	312	459	55	0.14814815	0.21794872	0.026128266	0.033729218	0.80920774	1.0446137
MCINX001838-RA melitaea_cinxia_core_27_80_1 cds 	459	459	458	88	74	14	0.19172113	0.16122004	0.030567685	0.030567685	0.98894817	0.98894817
MCINX004659-RA melitaea_cinxia_core_27_80_1 cds 	1851	1851	1850	386	371	82	0.20853592	0.2004322	0.044324324	0.04	1.0604587	0.9569993
MCINX012759-RA melitaea_cinxia_core_27_80_1 cds 	501	501	500	110	113	25	0.21956088	0.22554891	0.05	0.046	1.0096581	0.92888546
MCINX000651-RA melitaea_cinxia_core_27_80_1 cds 	573	573	572	82	92	13	0.14310646	0.16055846	0.022727273	0.017482517	0.9891335	0.7608718
MCINX002759-RA melitaea_cinxia_core_27_80_1 cds 	1221	1221	1220	246	260	42	0.2014742	0.21294022	0.03442623	0.040163934	0.8024396	0.93617946
MCINX011692-RA melitaea_cinxia_core_27_80_1 cds 	636	636	635	147	111	21	0.23113208	0.1745283	0.033070866	0.036220472	0.81982183	0.8979001
MCINX001085-RA melitaea_cinxia_core_27_80_1 cds 	423	423	422	97	83	19	0.22931442	0.19621749	0.0450237	0.054502368	1.0006267	1.2112849
MCINX000344-RA melitaea_cinxia_core_27_80_1 cds 	450	450	449	123	109	37	0.27333334	0.24222222	0.08240534	0.093541205	1.2446544	1.412851
MCINX015089-RA melitaea_cinxia_core_27_80_1 cds 	1752	1752	1751	553	498	168	0.31563926	0.28424656	0.09594517	0.08737864	1.0693918	0.9739105
MCINX001375-RA melitaea_cinxia_core_27_80_1 cds 	2478	2478	2477	517	500	115	0.208636	0.20177563	0.04642713	0.04077513	1.1028435	0.9685843
MCINX007947-RA melitaea_cinxia_core_27_80_1 cds 	642	642	641	106	122	22	0.16510904	0.19003116	0.03432137	0.023400936	1.0938781	0.74582607
MCINX006312-RA melitaea_cinxia_core_27_80_1 cds 	1965	1965	1964	304	307	33	0.15470737	0.1562341	0.016802443	0.025458248	0.69516134	1.0532748
MCINX007244-RA melitaea_cinxia_core_27_80_1 cds 	330	330	329	81	76	17	0.24545455	0.23030303	0.051671732	0.060790274	0.914076	1.0753835
