seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
cce10001.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	585	585	584	227	164	73	0.3880342	0.2803419	0.125	0.13013698	1.1490847	1.1963073
cce100109.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	360	360	359	116	106	42	0.32222223	0.29444444	0.11699165	0.10306407	1.2330935	1.0862967
cce10016.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	78	78	77	18	31	8	0.23076923	0.3974359	0.103896104	0.077922076	1.1328027	0.849602
cce100206.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	648	648	647	249	168	68	0.38425925	0.25925925	0.10510046	0.11591963	1.0549843	1.1635858
cce10052.2.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	201	201	200	67	61	16	0.33333334	0.3034826	0.08	0.115	0.7908196	1.1368033
cce10052.3.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	1470	1470	1469	399	382	112	0.27142859	0.25986394	0.07624234	0.06535058	1.0809226	0.9265051
cce10052.4.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	738	738	737	127	179	40	0.17208672	0.24254742	0.054274086	0.03799186	1.3003149	0.9102204
cce10052.5.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	1365	1365	1364	331	435	107	0.24249084	0.31868133	0.07844575	0.09017596	1.0151201	1.1669139
cce10052.6.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	2835	2835	2834	721	747	216	0.25432098	0.26349208	0.07621736	0.06810162	1.1373762	1.0162667
cce100530.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	924	924	923	248	255	66	0.26839826	0.27597404	0.07150596	0.08450704	0.9653711	1.1408931
cce10057.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	1173	1173	1172	347	354	120	0.29582268	0.30179027	0.102389075	0.10665529	1.1468773	1.1946639
cce10058.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	789	787	785	238	229	84	0.30241424	0.2909784	0.10700637	0.10191083	1.2160366	1.15813
cce100697.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	201	201	200	36	55	8	0.17910448	0.27363184	0.04	0.07	0.81618184	1.4283183
cce10070.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	2256	2256	2255	508	539	131	0.2251773	0.23891844	0.058093127	0.040798225	1.0798178	0.75834525
cce10070.2.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	930	930	929	179	271	47	0.19247311	0.29139784	0.050592035	0.06996771	0.9020399	1.247502
cce10070.3.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	636	636	635	110	132	17	0.17295597	0.20754717	0.026771653	0.037795275	0.7458007	1.0528951
cce100815.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	102	102	101	18	40	3	0.1764706	0.39215687	0.02970297	0.05940594	0.42920792	0.85841584
cce10083.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	300	300	299	87	100	31	0.29	0.33333334	0.10367893	0.10702341	1.0725406	1.1071388
cce10087.2.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	1092	1092	1091	236	260	62	0.21611722	0.23809524	0.0568286	0.06232814	1.1044012	1.2112787
cce10087.3.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	1167	1167	1166	348	373	111	0.29820052	0.31962296	0.09519725	0.11063465	0.9987989	1.1607664
cce10091.1.mRNA calycopis_cecrops_v1x1_core_27_80_2 cds 	447	447	446	126	157	41	0.2818792	0.3512304	0.09192825	0.11883408	0.92852557	1.2002891
