seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
KPJ20545.1 papilio_machaon_papma1_core_27_80_2 cds 	558	558	557	133	171	48	0.23835126	0.30645162	0.08617594	0.073608615	1.1797953	1.0077418
KPJ20539.1 papilio_machaon_papma1_core_27_80_2 cds 	258	258	257	83	101	35	0.32170543	0.39147288	0.13618676	0.16342412	1.0813713	1.2976456
KPJ20540.1 papilio_machaon_papma1_core_27_80_2 cds 	3375	3375	3374	1406	545	234	0.4165926	0.16148148	0.069353886	0.033195022	1.0309474	0.49344492
KPJ20541.1 papilio_machaon_papma1_core_27_80_2 cds 	1545	1545	1544	481	510	196	0.31132686	0.33009708	0.126943	0.12759067	1.2352376	1.2415398
KPJ20542.1 papilio_machaon_papma1_core_27_80_2 cds 	678	678	677	255	247	122	0.3761062	0.36430678	0.18020679	0.15805022	1.3152049	1.1534994
KPJ20543.1 papilio_machaon_papma1_core_27_80_2 cds 	312	312	311	116	127	67	0.37179488	0.4070513	0.21543409	0.21221864	1.4235144	1.4022678
KPJ20544.1 papilio_machaon_papma1_core_27_80_2 cds 	870	870	869	276	280	103	0.31724137	0.3218391	0.11852704	0.1173763	1.160884	1.1496133
KPJ20534.1 papilio_machaon_papma1_core_27_80_2 cds 	393	393	392	86	87	23	0.21882951	0.22137405	0.05867347	0.04336735	1.2111814	0.895221
KPJ20535.1 papilio_machaon_papma1_core_27_80_2 cds 	522	522	521	119	141	43	0.22796935	0.27011493	0.08253359	0.07485604	1.3403114	1.2156311
KPJ20536.1 papilio_machaon_papma1_core_27_80_2 cds 	5424	5424	5423	961	928	196	0.17717552	0.17109145	0.036142357	0.024709571	1.192297	0.8151418
KPJ20537.1 papilio_machaon_papma1_core_27_80_2 cds 	252	252	251	46	65	15	0.18253969	0.2579365	0.059760958	0.055776894	1.2692508	1.1846341
KPJ20538.1 papilio_machaon_papma1_core_27_80_2 cds 	2310	2310	2309	532	535	101	0.23030303	0.23160173	0.043741878	0.057600692	0.82007957	1.0799067
KPJ20530.1 papilio_machaon_papma1_core_27_80_2 cds 	1734	1734	1733	356	443	78	0.20530565	0.25547865	0.045008656	0.05828044	0.8581052	1.1111362
