seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
XM_011562030.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	981	981	980	246	273	54	0.25076452	0.27828747	0.05510204	0.075510204	0.7896014	1.0820464
XM_011562141.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1149	1126	1124	348	358	125	0.3090586	0.3179396	0.111209966	0.1227758	1.1317701	1.2494742
XM_011562248.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	366	366	365	77	85	12	0.2103825	0.23224044	0.03287671	0.03287671	0.6728851	0.6728851
XM_011562362.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1836	1836	1835	488	530	128	0.2657952	0.28867102	0.06975477	0.07901908	0.90912503	1.0298682
XM_011553047.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1158	1158	1157	358	370	125	0.3091537	0.31951642	0.10803803	0.12532412	1.0937272	1.2687236
XM_011570363.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	618	618	617	129	174	23	0.20873787	0.2815534	0.037277147	0.053484604	0.6342795	0.9100532
XM_011563802.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	837	837	836	218	213	70	0.260454	0.25448027	0.08373206	0.066985644	1.2633004	1.0106403
XM_011562460.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	528	528	527	133	126	26	0.25189394	0.23863636	0.049335863	0.05882353	0.8207453	0.9785809
XM_011549799.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1167	1167	1166	353	325	88	0.30248502	0.27849185	0.0754717	0.09176672	0.89591694	1.0893536
XM_011550884.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	657	657	656	198	191	57	0.30136988	0.29071537	0.08689024	0.10670732	0.99175227	1.2179414
XM_011562575.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	2373	2373	2372	751	816	304	0.31647703	0.34386852	0.12816189	0.1336425	1.1776719	1.2280328
XM_011551946.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	714	714	713	235	221	77	0.32913166	0.30952382	0.10799439	0.11781206	1.0600771	1.1564478
XM_011553048.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1317	1317	1316	441	393	130	0.33485195	0.29840547	0.09878419	0.11930091	0.9886165	1.1939446
XM_011562692.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	912	912	911	256	312	76	0.28070176	0.34210527	0.08342481	0.097694844	0.868741	1.0173415
XM_011554101.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1296	1296	1295	432	409	140	0.33333334	0.31558642	0.10810811	0.11196911	1.0276878	1.0643909
XM_011555191.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1607	1607	1606	376	494	102	0.23397635	0.3074051	0.06351183	0.07721046	0.8830221	1.0734779
XM_011556273.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	450	450	449	166	142	62	0.36888888	0.31555554	0.13808464	0.13585746	1.1862438	1.1671108
XM_011557357.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1065	1065	1064	298	351	95	0.27981222	0.32957748	0.08928572	0.09962406	0.9681837	1.0802891
XM_011558416.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1065	1065	1064	315	322	84	0.29577464	0.30234742	0.078947365	0.08364662	0.88281655	0.9353652
XM_011559498.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	2280	2280	2279	679	716	196	0.297807	0.3140351	0.08600263	0.09872751	0.91959935	1.0556625
XM_011560228.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	2130	2130	2129	627	663	176	0.2943662	0.3112676	0.08266792	0.094410524	0.9022255	1.0303826
XM_011562896.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	2850	2850	2849	916	867	295	0.3214035	0.3042105	0.10354511	0.11653212	1.0590215	1.1918478
XM_011561996.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	756	756	755	139	169	23	0.18386243	0.22354497	0.030463576	0.046357617	0.74117875	1.1278808
XM_011563082.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1851	1851	1850	343	386	21	0.18530524	0.20853592	0.011351352	0.036756758	0.29375076	0.951193
XM_011563009.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	438	438	437	131	135	41	0.29908675	0.30821916	0.09382151	0.08695652	1.0177605	0.9432903
XM_011563119.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	885	885	884	243	268	66	0.27457628	0.30282485	0.07466064	0.0780543	0.89791894	0.93873346
XM_011564148.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	399	399	398	137	127	51	0.3433584	0.31829575	0.1281407	0.11557789	1.1724885	1.0575386
XM_011563226.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	501	501	500	119	126	32	0.23752496	0.251497	0.064	0.052	1.0713662	0.870485
XM_011563337.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	678	678	677	158	140	27	0.23303835	0.20648968	0.039881833	0.05169867	0.82879925	1.0743694
XM_011563445.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	363	363	362	82	63	10	0.22589532	0.17355372	0.027624309	0.027624309	0.7046124	0.7046124
XM_011563556.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1902	1902	1901	441	405	68	0.2318612	0.21293375	0.035770647	0.056812204	0.7245264	1.1507185
XM_011565230.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	633	633	632	150	137	24	0.23696682	0.2164297	0.03797468	0.05221519	0.7404398	1.0181048
XM_011566298.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	432	432	431	146	113	50	0.33796296	0.26157406	0.11600928	0.0974478	1.3122873	1.1023214
XM_011567362.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	582	582	581	164	162	39	0.28178695	0.2783505	0.06712565	0.06712565	0.8558065	0.8558065
XM_011569118.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	669	669	668	200	168	52	0.29895365	0.25112107	0.077844314	0.06437126	1.0369072	0.85744244
XM_011568414.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	669	669	668	200	168	52	0.29895365	0.25112107	0.077844314	0.06437126	1.0369072	0.85744244
XM_011569932.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	384	384	383	116	108	42	0.30208334	0.28125	0.10966057	0.09399478	1.2907176	1.1063293
XM_011570050.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1143	1143	1142	266	256	54	0.23272091	0.22397201	0.047285464	0.039404552	0.9071905	0.7559921
XM_011563666.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	498	498	497	180	162	60	0.36144578	0.3253012	0.12072434	0.12072434	1.0267531	1.0267531
XM_011570149.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	768	768	767	256	197	54	0.33333334	0.2565104	0.07040417	0.09387223	0.8234072	1.0978762
XM_011570251.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1656	1635	1633	496	509	150	0.30336392	0.31131497	0.09185548	0.09675444	0.9726154	1.0244882
XM_011570325.1 plutella_xylostella_dbmfjv1x1_core_27_80_2 cds 	1581	1560	1558	483	493	149	0.30961537	0.31602564	0.09563543	0.09884467	0.9774037	1.0102024
