seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
GNV120020_1	100	100	99	14	32	7	0.14	0.32	0.07070707	0.05050505	1.5782828	1.1273448
GNV120020_2	100	100	99	31	19	3	0.31	0.19	0.030303031	0.04040404	0.51448274	0.6859769
GNV120020_3	101	101	100	20	18	2	0.1980198	0.17821783	0.02	0.03	0.5667222	0.8500833
GNV120020_4	101	101	100	27	19	5	0.26732674	0.18811882	0.05	0.07	0.99424946	1.3919492
GNV120020_5	101	101	100	30	36	12	0.2970297	0.35643566	0.12	0.15	1.1334444	1.4168056
GNV120020_6	101	101	100	24	41	5	0.23762377	0.4059406	0.05	0.1	0.5183435	1.036687
GNV120020_7	101	101	100	26	20	2	0.25742576	0.1980198	0.02	0.02	0.3923461	0.3923461
GNV120020_8	102	102	101	21	25	3	0.20588236	0.24509804	0.02970297	0.04950495	0.588628	0.9810466
GNV120020_9	103	103	102	32	24	5	0.3106796	0.23300971	0.04901961	0.078431375	0.67714715	1.0834354
GNV120020_10	103	103	102	24	29	7	0.23300971	0.2815534	0.068627454	0.0882353	1.0460757	1.3449545
GNV120020_11	103	103	102	33	26	6	0.32038835	0.2524272	0.05882353	0.10784314	0.72734123	1.333459
GNV120020_12	103	103	102	29	27	7	0.2815534	0.26213592	0.068627454	0.029411765	0.92984504	0.398505
GNV120020_13	103	103	102	31	25	7	0.30097088	0.24271844	0.068627454	0.04901961	0.9394434	0.671031
GNV120020_14	104	104	103	26	21	4	0.25	0.20192307	0.03883495	0.067961164	0.7693019	1.3462783
GNV120020_15	105	105	104	19	24	2	0.18095239	0.22857143	0.01923077	0.01923077	0.46495447	0.46495447
GNV120020_16	105	105	104	26	29	8	0.24761905	0.2761905	0.07692308	0.057692308	1.1247704	0.8435778
GNV120020_17	106	106	105	23	26	7	0.21698113	0.24528302	0.06666667	0.028571429	1.2526199	0.53683704
GNV120020_18	106	106	105	34	25	9	0.3207547	0.23584905	0.08571429	0.114285715	1.1330421	1.5107228
GNV120020_19	108	108	107	22	38	16	0.2037037	0.35185185	0.1495327	0.08411215	2.0863032	1.1735456
GNV120020_20	108	108	107	16	12	2	0.14814815	0.11111111	0.018691588	0.028037382	1.135514	1.703271
GNV120020_21	109	109	108	21	21	2	0.19266056	0.19266056	0.018518519	0.027777778	0.4989082	0.7483623
GNV120020_22	109	109	108	29	23	7	0.26605505	0.21100917	0.06481481	0.055555556	1.1545199	0.9895885
GNV120020_23	110	110	109	29	31	15	0.26363635	0.28181818	0.13761468	0.08256881	1.852211	1.1113266
GNV120020_24	111	111	110	27	26	5	0.24324325	0.23423423	0.045454547	0.08181818	0.7977856	1.4360139
GNV120020_25	111	111	110	19	25	4	0.17117117	0.22522523	0.036363635	0.027272727	0.94323444	0.70742583
GNV120020_26	112	112	111	20	22	3	0.17857143	0.19642857	0.027027028	0.018018018	0.7705159	0.5136773
GNV120020_27	113	113	112	34	29	13	0.30088496	0.25663716	0.116071425	0.071428575	1.5031602	0.92502177
GNV120020_28	113	113	112	44	28	12	0.38938054	0.24778761	0.10714286	0.0625	1.1104765	0.647778
GNV120020_29	113	113	112	43	16	4	0.38053098	0.14159292	0.035714287	0.071428575	0.66284263	1.3256853
GNV120020_30	113	113	112	27	9	2	0.23893805	0.07964602	0.017857144	0.008928572	0.93834513	0.46917257
GNV120020_31	113	113	112	33	29	3	0.2920354	0.25663716	0.026785715	0.071428575	0.35739478	0.95305276
GNV120020_32	114	114	113	30	34	7	0.2631579	0.2982456	0.061946902	0.097345136	0.7892764	1.2402915
GNV120020_33	114	114	113	26	31	5	0.22807017	0.27192983	0.044247787	0.11504425	0.71345437	1.8549814
GNV120020_34	115	115	114	23	26	7	0.2	0.22608696	0.06140351	0.06140351	1.3579623	1.3579623
GNV120020_35	108	108	107	23	29	8	0.21296297	0.2685185	0.07476635	0.037383176	1.3074584	0.6537292
GNV120020_36	116	116	115	29	25	7	0.25	0.21551724	0.060869563	0.069565214	1.1297392	1.2911304
GNV120020_37	117	117	116	23	30	1	0.1965812	0.25641027	0.00862069	0.05172414	0.17102697	1.0261619
GNV120020_38	118	118	117	38	29	8	0.3220339	0.2457627	0.06837607	0.05982906	0.8639459	0.75595266
GNV120020_39	118	118	117	12	20	1	0.10169491	0.16949153	0.008547009	0.008547009	0.49586895	0.49586895
GNV120020_40	118	118	117	36	7	0	0.30508474	0.059322033	0.0	0.008547009	0.0	0.47225618
GNV120020_41	119	119	118	29	31	5	0.24369748	0.26050422	0.042372882	0.050847456	0.6674553	0.80094635
GNV120020_42	119	119	118	30	42	8	0.25210086	0.3529412	0.06779661	0.11016949	0.7619585	1.2381825
GNV120020_43	120	120	119	26	34	8	0.21666667	0.28333333	0.067226894	0.075630255	1.0950987	1.231986
GNV120020_44	120	120	119	34	32	13	0.28333333	0.26666668	0.1092437	0.09243698	1.4458724	1.2234306
GNV120020_45	109	109	108	23	27	3	0.21100917	0.24770643	0.027777778	0.055555556	0.5314457	1.0628914
GNV120020_46	121	121	120	35	25	5	0.2892562	0.20661157	0.041666668	0.06666667	0.6971905	1.1155049
GNV120020_47	121	121	120	16	17	1	0.1322314	0.14049587	0.008333334	0.025	0.4485601	1.3456802
GNV120020_48	123	123	122	39	25	10	0.31707317	0.20325203	0.08196721	0.04918033	1.271879	0.7631274
GNV120020_49	123	123	122	30	45	11	0.24390244	0.36585367	0.09016393	0.12295082	1.0104371	1.3778689
