seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
BANY.1.2.t00001 bicyclus_anynana_v1x2_core_27_80_2 cds 	1509	1509	1508	366	440	120	0.24254473	0.29158384	0.0795756	0.0795756	1.1251869	1.1251869
BANY.1.2.t00002 bicyclus_anynana_v1x2_core_27_80_2 cds 	267	267	266	56	83	11	0.20973782	0.3108614	0.041353382	0.067669176	0.6342602	1.0378804
BANY.1.2.t00003 bicyclus_anynana_v1x2_core_27_80_2 cds 	6135	6135	6134	1343	1488	359	0.21890791	0.24254279	0.058526248	0.055265732	1.1023027	1.0408931
BANY.1.2.t00004 bicyclus_anynana_v1x2_core_27_80_2 cds 	417	417	416	134	112	43	0.32134292	0.26858515	0.103365384	0.11298077	1.1976348	1.3090427
BANY.1.2.t00005 bicyclus_anynana_v1x2_core_27_80_2 cds 	426	426	425	111	111	35	0.26056337	0.26056337	0.08235294	0.07294118	1.2129765	1.0743506
BANY.1.2.t00007 bicyclus_anynana_v1x2_core_27_80_2 cds 	708	708	707	117	181	36	0.16525424	0.25564972	0.050919376	0.05516266	1.2052722	1.3057116
BANY.1.2.t00009 bicyclus_anynana_v1x2_core_27_80_2 cds 	231	231	230	45	47	11	0.19480519	0.2034632	0.047826085	0.039130434	1.206642	0.98725253
BANY.1.2.t00010 bicyclus_anynana_v1x2_core_27_80_2 cds 	1983	1983	1982	593	607	196	0.29904187	0.30610186	0.09889001	0.10141271	1.080325	1.1078843
BANY.1.2.t00011 bicyclus_anynana_v1x2_core_27_80_2 cds 	822	822	821	235	247	103	0.28588808	0.30048662	0.12545677	0.104750305	1.4604036	1.2193661
BANY.1.2.t00012 bicyclus_anynana_v1x2_core_27_80_2 cds 	1779	1779	1778	428	494	115	0.2405846	0.2776841	0.064679414	0.07030371	0.9681602	1.052348
BANY.1.2.t00013 bicyclus_anynana_v1x2_core_27_80_2 cds 	2388	2388	2387	643	676	213	0.26926297	0.28308207	0.08923335	0.09426058	1.17068	1.2366339
BANY.1.2.t00015 bicyclus_anynana_v1x2_core_27_80_2 cds 	2025	2025	2024	579	571	190	0.28592592	0.2819753	0.093873516	0.083992094	1.1643363	1.0417746
BANY.1.2.t00016 bicyclus_anynana_v1x2_core_27_80_2 cds 	1362	1362	1361	316	285	60	0.23201175	0.2092511	0.04408523	0.055841293	0.9080617	1.1502115
BANY.1.2.t00017 bicyclus_anynana_v1x2_core_27_80_2 cds 	3534	3534	3533	955	1048	341	0.27023202	0.29654783	0.09651854	0.09142372	1.2044234	1.1408468
BANY.1.2.t00019 bicyclus_anynana_v1x2_core_27_80_2 cds 	273	273	272	57	65	15	0.20879121	0.23809524	0.05514706	0.036764707	1.1093266	0.7395511
BANY.1.2.t00020 bicyclus_anynana_v1x2_core_27_80_2 cds 	552	552	551	140	126	26	0.2536232	0.22826087	0.047186933	0.056261342	0.815082	0.9718285
