seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
Msex2.00001-RA manduca_sexta_msex1_core_27_80_2 cds 	4917	4897	4895	1478	1485	479	0.30181745	0.3032469	0.09785496	0.11011236	1.0691586	1.2030824
Msex2.00002-RA manduca_sexta_msex1_core_27_80_2 cds 	549	549	548	100	142	27	0.18214937	0.2586521	0.049270075	0.05291971	1.0457782	1.1232432
Msex2.00003-RA manduca_sexta_msex1_core_27_80_2 cds 	4128	4128	4127	1277	1286	456	0.3093508	0.311531	0.11049188	0.11776108	1.14651	1.2219383
Msex2.00004-RA manduca_sexta_msex1_core_27_80_2 cds 	1434	1434	1433	443	501	200	0.30892608	0.3493724	0.13956735	0.14096302	1.2931255	1.3060567
Msex2.00005-RA manduca_sexta_msex1_core_27_80_2 cds 	1437	1437	1436	399	427	127	0.2776618	0.29714683	0.08844011	0.09192201	1.0719192	1.1141208
Msex2.00005-RB manduca_sexta_msex1_core_27_80_2 cds 	1677	1677	1676	478	524	165	0.2850328	0.31246272	0.09844869	0.09725537	1.1053934	1.0919948
Msex2.00005-RC manduca_sexta_msex1_core_27_80_2 cds 	1722	1722	1721	488	539	167	0.28339142	0.31300813	0.09703661	0.09761766	1.0939394	1.10049
Msex2.00005-RF manduca_sexta_msex1_core_27_80_2 cds 	1722	1722	1721	488	539	167	0.28339142	0.31300813	0.09703661	0.09761766	1.0939394	1.10049
Msex2.00005-RE manduca_sexta_msex1_core_27_80_2 cds 	1722	1722	1721	488	539	167	0.28339142	0.31300813	0.09703661	0.09761766	1.0939394	1.10049
Msex2.00005-RD manduca_sexta_msex1_core_27_80_2 cds 	1722	1722	1721	488	539	167	0.28339142	0.31300813	0.09703661	0.09761766	1.0939394	1.10049
Msex2.00006-RA manduca_sexta_msex1_core_27_80_2 cds 	3816	3816	3815	1087	1179	392	0.28485325	0.30896226	0.10275229	0.10406291	1.1675216	1.1824135
Msex2.00007-RA manduca_sexta_msex1_core_27_80_2 cds 	729	729	728	166	181	52	0.22770919	0.24828532	0.071428575	0.05631868	1.2633985	0.99614114
Msex2.00007-RB manduca_sexta_msex1_core_27_80_2 cds 	729	729	728	166	181	52	0.22770919	0.24828532	0.071428575	0.05631868	1.2633985	0.99614114
Msex2.00007-RC manduca_sexta_msex1_core_27_80_2 cds 	729	729	728	166	181	52	0.22770919	0.24828532	0.071428575	0.05631868	1.2633985	0.99614114
Msex2.00007-RD manduca_sexta_msex1_core_27_80_2 cds 	729	729	728	166	181	52	0.22770919	0.24828532	0.071428575	0.05631868	1.2633985	0.99614114
Msex2.00008-RA manduca_sexta_msex1_core_27_80_2 cds 	300	300	299	89	93	28	0.29666665	0.31	0.09364548	0.09698997	1.0182546	1.0546209
Msex2.00009-RB manduca_sexta_msex1_core_27_80_2 cds 	1878	1878	1877	554	528	157	0.29499468	0.28115016	0.083644114	0.0990943	1.0085162	1.1948026
Msex2.00009-RA manduca_sexta_msex1_core_27_80_2 cds 	1611	1611	1610	436	448	102	0.27063936	0.27808815	0.06335404	0.083850935	0.84178436	1.1141264
Msex2.00009-RC manduca_sexta_msex1_core_27_80_2 cds 	1878	1878	1877	554	528	157	0.29499468	0.28115016	0.083644114	0.0990943	1.0085162	1.1948026
Msex2.00010-RB manduca_sexta_msex1_core_27_80_2 cds 	1083	1083	1082	201	243	26	0.18559557	0.22437674	0.024029575	0.037892792	0.577033	0.90993667
Msex2.00010-RA manduca_sexta_msex1_core_27_80_2 cds 	849	849	848	164	187	18	0.19316843	0.22025913	0.021226415	0.038915094	0.49889207	0.9146354
Msex2.00011-RB manduca_sexta_msex1_core_27_80_2 cds 	1944	1944	1943	411	451	87	0.21141975	0.23199588	0.04477612	0.05198147	0.9128946	1.0597972
Msex2.00011-RA manduca_sexta_msex1_core_27_80_2 cds 	1251	1251	1250	270	301	57	0.21582733	0.24060751	0.0456	0.0512	0.8781106	0.9859487
Msex2.00011-RC manduca_sexta_msex1_core_27_80_2 cds 	1944	1944	1943	411	451	87	0.21141975	0.23199588	0.04477612	0.05198147	0.9128946	1.0597972
Msex2.00011-RD manduca_sexta_msex1_core_27_80_2 cds 	1251	1251	1250	270	301	57	0.21582733	0.24060751	0.0456	0.0512	0.8781106	0.9859487
Msex2.00012-RA manduca_sexta_msex1_core_27_80_2 cds 	1167	1167	1166	219	294	43	0.18766066	0.25192803	0.036878217	0.054030877	0.7800459	1.142858
Msex2.00012-RB manduca_sexta_msex1_core_27_80_2 cds 	1167	1167	1166	219	294	43	0.18766066	0.25192803	0.036878217	0.054030877	0.7800459	1.142858
Msex2.00013-RA manduca_sexta_msex1_core_27_80_2 cds 	849	849	848	134	225	42	0.15783274	0.26501766	0.0495283	0.043632075	1.1840812	1.0431192
Msex2.00013-RB manduca_sexta_msex1_core_27_80_2 cds 	882	882	881	134	230	43	0.15192744	0.26077098	0.048808172	0.039727584	1.2319613	1.0027592
Msex2.00013-RC manduca_sexta_msex1_core_27_80_2 cds 	849	849	848	134	225	42	0.15783274	0.26501766	0.0495283	0.043632075	1.1840812	1.0431192
Msex2.00014-RA manduca_sexta_msex1_core_27_80_2 cds 	1083	1083	1082	237	250	45	0.21883656	0.23084027	0.041589648	0.03512015	0.82329184	0.6952242
Msex2.00014-RB manduca_sexta_msex1_core_27_80_2 cds 	966	966	965	215	222	40	0.22256729	0.22981367	0.041450776	0.037305698	0.8103927	0.72935337
Msex2.00014-RC manduca_sexta_msex1_core_27_80_2 cds 	1083	1083	1082	237	250	45	0.21883656	0.23084027	0.041589648	0.03512015	0.82329184	0.6952242
Msex2.00015-RE manduca_sexta_msex1_core_27_80_2 cds 	1206	1206	1205	288	307	83	0.23880596	0.25456053	0.06887967	0.059751038	1.133065	0.9828997
Msex2.00015-RB manduca_sexta_msex1_core_27_80_2 cds 	864	864	863	219	211	60	0.2534722	0.24421297	0.069524914	0.05677868	1.1231594	0.9172468
Msex2.00015-RA manduca_sexta_msex1_core_27_80_2 cds 	1170	1170	1169	281	296	79	0.24017094	0.25299147	0.06757913	0.060735673	1.1122086	0.9995799
Msex2.00015-RC manduca_sexta_msex1_core_27_80_2 cds 	1170	1170	1169	281	296	79	0.24017094	0.25299147	0.06757913	0.060735673	1.1122086	0.9995799
Msex2.00015-RD manduca_sexta_msex1_core_27_80_2 cds 	837	837	836	186	219	56	0.22222222	0.26164874	0.066985644	0.057416268	1.1520613	0.9874811
Msex2.00016-RA manduca_sexta_msex1_core_27_80_2 cds 	978	978	977	223	290	57	0.22801636	0.2965235	0.058341864	0.08597748	0.8628894	1.2716265
Msex2.00017-RA manduca_sexta_msex1_core_27_80_2 cds 	3633	3633	3632	962	927	210	0.26479495	0.25516102	0.057819385	0.06938326	0.85575503	1.0269061
Msex2.00017-RB manduca_sexta_msex1_core_27_80_2 cds 	3633	3633	3632	962	927	210	0.26479495	0.25516102	0.057819385	0.06938326	0.85575503	1.0269061
Msex2.00017-RC manduca_sexta_msex1_core_27_80_2 cds 	2646	2646	2645	706	674	153	0.26681784	0.25472412	0.05784499	0.07258979	0.8511004	1.0680476
Msex2.00018-RA manduca_sexta_msex1_core_27_80_2 cds 	1287	1287	1286	255	315	56	0.1981352	0.24475524	0.04354588	0.07076205	0.8979527	1.4591731
Msex2.00019-RA manduca_sexta_msex1_core_27_80_2 cds 	3732	3732	3731	881	818	167	0.23606645	0.21918543	0.04476012	0.04476012	0.8650581	0.8650581
Msex2.00019-RB manduca_sexta_msex1_core_27_80_2 cds 	3519	3519	3518	819	754	155	0.23273657	0.21426542	0.044059124	0.04235361	0.8835256	0.84932464
Msex2.00019-RC manduca_sexta_msex1_core_27_80_2 cds 	2625	2625	2624	585	541	115	0.22285715	0.20609523	0.04382622	0.038490854	0.95420015	0.83803666
Msex2.00019-RD manduca_sexta_msex1_core_27_80_2 cds 	3660	3660	3659	857	799	162	0.234153	0.218306	0.044274393	0.044001095	0.8661382	0.8607917
Msex2.00020-RA manduca_sexta_msex1_core_27_80_2 cds 	600	600	599	173	169	46	0.28833333	0.28166667	0.076794654	0.078464106	0.9455853	0.9661415
Msex2.00020-RB manduca_sexta_msex1_core_27_80_2 cds 	600	600	599	173	169	46	0.28833333	0.28166667	0.076794654	0.078464106	0.9455853	0.9661415
Msex2.00021-RA manduca_sexta_msex1_core_27_80_2 cds 	825	825	824	208	232	52	0.2521212	0.28121212	0.0631068	0.07038835	0.89008754	0.9927899
Msex2.00023-RA manduca_sexta_msex1_core_27_80_2 cds 	615	615	614	113	151	23	0.18373984	0.24552846	0.037459284	0.042345278	0.83033687	0.93864167
Msex2.00023-RB manduca_sexta_msex1_core_27_80_2 cds 	615	615	614	113	151	23	0.18373984	0.24552846	0.037459284	0.042345278	0.83033687	0.93864167
Msex2.00024-RA manduca_sexta_msex1_core_27_80_2 cds 	2556	2556	2555	637	771	201	0.24921753	0.3016432	0.07866927	0.084540114	1.0464851	1.124581
Msex2.00025-RA manduca_sexta_msex1_core_27_80_2 cds 	279	279	278	70	86	20	0.25089607	0.30824372	0.07194245	0.09352518	0.9302445	1.2093178
Msex2.00026-RA manduca_sexta_msex1_core_27_80_2 cds 	1692	1692	1691	340	417	66	0.20094563	0.2464539	0.03903016	0.05795387	0.78810865	1.1702218
Msex2.00027-RA manduca_sexta_msex1_core_27_80_2 cds 	540	540	539	150	179	66	0.2777778	0.3314815	0.12244898	0.10575139	1.329837	1.1484954
Msex2.00028-RA manduca_sexta_msex1_core_27_80_2 cds 	183	183	182	36	33	3	0.19672132	0.18032786	0.016483517	0.027472528	0.46466038	0.7744339
Msex2.00029-RA manduca_sexta_msex1_core_27_80_2 cds 	336	336	335	78	82	19	0.23214285	0.24404761	0.05671642	0.05671642	1.0011034	1.0011034
Msex2.00030-RA manduca_sexta_msex1_core_27_80_2 cds 	336	336	335	59	98	21	0.17559524	0.29166666	0.06268657	0.05074627	1.2239819	0.99084246
Msex2.00031-RA manduca_sexta_msex1_core_27_80_2 cds 	528	528	527	155	153	55	0.2935606	0.28977272	0.10436433	0.09867173	1.2268652	1.1599452
Msex2.00032-RA manduca_sexta_msex1_core_27_80_2 cds 	3192	3192	3191	1057	1043	380	0.33114034	0.3267544	0.119084924	0.12848637	1.1005841	1.1874723
Msex2.00033-RA manduca_sexta_msex1_core_27_80_2 cds 	375	375	374	100	94	32	0.26666668	0.25066668	0.0855615	0.09358289	1.280009	1.4000099
Msex2.00034-RA manduca_sexta_msex1_core_27_80_2 cds 	2304	2304	2303	554	608	125	0.2404514	0.2638889	0.05427703	0.062961355	0.85539687	0.9922604
Msex2.00035-RA manduca_sexta_msex1_core_27_80_2 cds 	615	615	614	157	131	16	0.25528455	0.21300814	0.026058631	0.06677525	0.4792155	1.2279899
Msex2.00036-RA manduca_sexta_msex1_core_27_80_2 cds 	957	957	956	170	203	16	0.17763846	0.21212122	0.016736401	0.04079498	0.44416156	1.0826439
Msex2.00037-RB manduca_sexta_msex1_core_27_80_2 cds 	2523	2523	2522	636	699	200	0.25208086	0.27705112	0.07930214	0.09357653	1.1354947	1.3398838
Msex2.00037-RA manduca_sexta_msex1_core_27_80_2 cds 	2325	2325	2324	572	640	172	0.24602151	0.27526882	0.07401033	0.093803786	1.0928541	1.3851291
Msex2.00038-RB manduca_sexta_msex1_core_27_80_2 cds 	3279	3279	3278	988	760	268	0.30131137	0.23177798	0.081757165	0.06833435	1.1706798	0.97847867
