seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
DPOGS206960-TA danaus_plexippus_v3_core_27_80_2 cds 	7383	7383	7382	1317	1615	273	0.17838277	0.21874577	0.036981847	0.038065564	0.9477549	0.97552794
DPOGS206959-TA danaus_plexippus_v3_core_27_80_2 cds 	1362	1362	1361	372	372	86	0.27312776	0.27312776	0.06318883	0.068332106	0.8470492	0.915995
DPOGS206961-TA danaus_plexippus_v3_core_27_80_2 cds 	1086	1086	1085	228	288	46	0.20994475	0.26519337	0.042396314	0.060829494	0.7614834	1.092563
DPOGS206962-TA danaus_plexippus_v3_core_27_80_2 cds 	303	303	302	52	76	11	0.17161717	0.25082508	0.03642384	0.03642384	0.84616303	0.84616303
DPOGS206963-TA danaus_plexippus_v3_core_27_80_2 cds 	279	279	278	53	64	9	0.18996416	0.22939068	0.0323741	0.035971224	0.742934	0.8254823
DPOGS206964-TA danaus_plexippus_v3_core_27_80_2 cds 	1437	1437	1436	310	304	51	0.21572721	0.21155185	0.03551532	0.04735376	0.778205	1.0376066
DPOGS206965-TA danaus_plexippus_v3_core_27_80_2 cds 	813	813	812	138	197	23	0.16974169	0.24231242	0.028325124	0.05172414	0.6886644	1.2575611
DPOGS206958-TA danaus_plexippus_v3_core_27_80_2 cds 	342	342	341	78	72	12	0.22807017	0.21052632	0.035190616	0.04105572	0.7329123	0.8550644
DPOGS206957-TA danaus_plexippus_v3_core_27_80_2 cds 	924	924	923	209	217	51	0.22619048	0.23484848	0.055254605	0.048754063	1.040175	0.91780144
DPOGS206966-TA danaus_plexippus_v3_core_27_80_2 cds 	975	975	974	223	235	52	0.22871795	0.24102564	0.05338809	0.056468174	0.9684582	1.0243309
DPOGS206967-TA danaus_plexippus_v3_core_27_80_2 cds 	921	921	920	214	233	47	0.23235613	0.2529859	0.051086955	0.051086955	0.86907965	0.86907965
DPOGS206956-TA danaus_plexippus_v3_core_27_80_2 cds 	2478	2478	2477	436	465	92	0.17594835	0.18765134	0.037141703	0.031489704	1.1249286	0.9537438
DPOGS206968-TA danaus_plexippus_v3_core_27_80_2 cds 	396	396	395	77	73	14	0.19444445	0.18434343	0.035443038	0.030379746	0.9887983	0.8475414
DPOGS206955-TA danaus_plexippus_v3_core_27_80_2 cds 	525	525	524	109	142	25	0.20761904	0.2704762	0.047709923	0.057251908	0.849596	1.0195153
DPOGS206969-TA danaus_plexippus_v3_core_27_80_2 cds 	660	660	659	107	119	17	0.1621212	0.18030304	0.025796661	0.028831564	0.882512	0.986337
DPOGS206954-TA danaus_plexippus_v3_core_27_80_2 cds 	648	648	647	133	146	20	0.20524691	0.22530864	0.030911902	0.04636785	0.6684536	1.0026803
DPOGS206970-TA danaus_plexippus_v3_core_27_80_2 cds 	633	633	632	120	150	17	0.18957347	0.23696682	0.026898734	0.050632913	0.59877926	1.1271139
DPOGS206953-TA danaus_plexippus_v3_core_27_80_2 cds 	918	918	917	228	250	61	0.24836601	0.27233115	0.066521265	0.056706652	0.98349243	0.838387
DPOGS206971-TA danaus_plexippus_v3_core_27_80_2 cds 	645	645	644	137	125	29	0.2124031	0.19379845	0.045031056	0.029503105	1.0939589	0.7167316
DPOGS206952-TA danaus_plexippus_v3_core_27_80_2 cds 	1443	1443	1442	294	256	32	0.2037422	0.17740817	0.022191402	0.04368932	0.61394584	1.2087059
DPOGS206951-TA danaus_plexippus_v3_core_27_80_2 cds 	360	360	359	63	68	7	0.175	0.18888889	0.019498607	0.027855154	0.58987385	0.84267694
DPOGS206972-TA danaus_plexippus_v3_core_27_80_2 cds 	1479	1479	1478	306	416	88	0.20689656	0.28127113	0.059539918	0.05074425	1.0231276	0.87198377
DPOGS206973-TA danaus_plexippus_v3_core_27_80_2 cds 	1272	1272	1271	349	343	93	0.27437106	0.2696541	0.07317073	0.07946499	0.98899037	1.0740649
DPOGS206974-TA danaus_plexippus_v3_core_27_80_2 cds 	156	156	155	31	52	9	0.19871795	0.33333334	0.058064517	0.08387097	0.87658685	1.266181
DPOGS206975-TA danaus_plexippus_v3_core_27_80_2 cds 	3012	3012	3011	681	759	195	0.22609562	0.25199202	0.06476254	0.05778811	1.1366975	1.014284
DPOGS206950-TA danaus_plexippus_v3_core_27_80_2 cds 	2049	2049	2048	479	514	120	0.23377258	0.25085407	0.05859375	0.05126953	0.9991635	0.87426805
DPOGS206949-TA danaus_plexippus_v3_core_27_80_2 cds 	2463	2463	2462	547	644	156	0.22208689	0.26146975	0.06336312	0.062144596	1.0911694	1.0701853
DPOGS206976-TA danaus_plexippus_v3_core_27_80_2 cds 	1857	1857	1856	461	435	124	0.24824986	0.23424879	0.06681035	0.05926724	1.1488872	1.019174
DPOGS206977-TA danaus_plexippus_v3_core_27_80_2 cds 	999	999	998	209	252	39	0.2092092	0.25225225	0.039078157	0.03807615	0.74048835	0.7215014
DPOGS206948-TA danaus_plexippus_v3_core_27_80_2 cds 	690	690	689	113	145	19	0.16376811	0.21014492	0.027576197	0.043541364	0.80128336	1.2651843
DPOGS206947-TA danaus_plexippus_v3_core_27_80_2 cds 	1380	1380	1379	315	344	71	0.22826087	0.24927536	0.051486585	0.059463378	0.9048639	1.0450541
DPOGS206978-TA danaus_plexippus_v3_core_27_80_2 cds 	1515	1515	1514	242	359	38	0.15973598	0.23696369	0.025099074	0.04293263	0.663091	1.1342347
DPOGS206979-TA danaus_plexippus_v3_core_27_80_2 cds 	1575	1575	1574	331	378	75	0.21015874	0.24	0.0476493	0.04320203	0.9447086	0.85653573
