seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
NM_001114933.1_1 bombyx_mori_asm15162v1_core_27_80_2 cds 	741	740	739	138	115	21	0.18648648	0.1554054	0.028416779	0.025710419	0.9805311	0.8871472
NM_001110154.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	983	836	834	165	156	38	0.19736843	0.18660288	0.04556355	0.04676259	1.2371477	1.2697041
XM_004921463.2 bombyx_mori_asm15162v1_core_27_80_2 cds 	690	690	689	117	144	15	0.16956522	0.20869565	0.021770682	0.040638607	0.61520785	1.148388
XM_012688496.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	456	456	455	178	134	63	0.39035088	0.29385966	0.13846155	0.11208791	1.2070744	0.9771554
XM_004921464.2 bombyx_mori_asm15162v1_core_27_80_2 cds 	693	693	692	131	173	37	0.1890332	0.24963924	0.05346821	0.05346821	1.1330386	1.1330386
XM_012689630.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	660	660	659	158	196	61	0.23939393	0.2969697	0.09256449	0.06980273	1.3020245	0.98185444
XM_012690173.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	267	267	266	76	66	30	0.2846442	0.24719101	0.11278196	0.067669176	1.6028934	0.961736
XM_012691638.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	324	324	323	95	106	25	0.29320988	0.3271605	0.07739938	0.10216718	0.8068597	1.0650548
XM_012691107.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	654	654	653	227	224	96	0.3470948	0.34250763	0.14701378	0.1669219	1.2366297	1.40409
XM_004921467.2 bombyx_mori_asm15162v1_core_27_80_2 cds 	1997	1997	1996	310	339	12	0.15523285	0.16975464	0.006012024	0.026553106	0.22814734	1.0076507
XM_012693337.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	388	386	385	122	104	37	0.31606218	0.26943004	0.0961039	0.103896104	1.1285542	1.2200586
XM_012693908.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	285	285	284	77	88	28	0.27017543	0.30877194	0.09859155	0.10211267	1.1818327	1.224041
XM_004921469.2 bombyx_mori_asm15162v1_core_27_80_2 cds 	487	485	484	106	101	19	0.2185567	0.20824742	0.0392562	0.051652893	0.86251074	1.1348826
XM_004921470.1 bombyx_mori_asm15162v1_core_27_80_2 cds 	263	262	261	65	59	16	0.24809161	0.22519083	0.06130268	0.057471264	1.097278	1.0286982
