seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
nBa.0.1-t00001-RA bicyclus_anynana_nba01_core_27_80_1 cds 	1371	1371	1370	366	332	68	0.26695842	0.24215901	0.049635038	0.054014597	0.76779294	0.83553934
nBa.0.1-t00002-RA bicyclus_anynana_nba01_core_27_80_1 cds 	486	486	485	135	119	32	0.2777778	0.24485597	0.065979384	0.063917525	0.9700632	0.93974864
nBa.0.1-t00003-RB bicyclus_anynana_nba01_core_27_80_1 cds 	2610	2610	2609	651	727	202	0.24942529	0.27854407	0.0774243	0.07512457	1.1144047	1.0813035
nBa.0.1-t00004-RA bicyclus_anynana_nba01_core_27_80_1 cds 	414	414	413	81	86	12	0.19565217	0.20772947	0.02905569	0.036319613	0.7149051	0.8936314
nBa.0.1-t00005-RA bicyclus_anynana_nba01_core_27_80_1 cds 	681	681	680	142	138	15	0.20851688	0.20264317	0.022058824	0.04411765	0.52204645	1.0440929
nBa.0.1-t00006-RA bicyclus_anynana_nba01_core_27_80_1 cds 	1203	1203	1202	303	288	63	0.25187033	0.23940149	0.052412644	0.06572379	0.86922497	1.0899805
nBa.0.1-t00007-RA bicyclus_anynana_nba01_core_27_80_1 cds 	315	315	314	103	95	35	0.32698414	0.3015873	0.11146497	0.10828026	1.1303128	1.0980182
nBa.0.1-t00008-RA bicyclus_anynana_nba01_core_27_80_1 cds 	180	180	179	49	50	13	0.27222222	0.2777778	0.0726257	0.06703911	0.9604378	0.88655806
nBa.0.1-t00009-RA bicyclus_anynana_nba01_core_27_80_1 cds 	990	989	987	199	212	41	0.20121334	0.21435794	0.04154002	0.052684903	0.96309763	1.2214897
nBa.0.1-t00010-RA bicyclus_anynana_nba01_core_27_80_1 cds 	264	264	263	61	66	14	0.23106061	0.25	0.05323194	0.041825093	0.9215234	0.72405404
nBa.0.1-t00011-RA bicyclus_anynana_nba01_core_27_80_1 cds 	522	522	521	169	125	40	0.3237548	0.2394636	0.07677543	0.09213052	0.9902995	1.1883594
nBa.0.1-t00012-RA bicyclus_anynana_nba01_core_27_80_1 cds 	561	561	560	123	136	17	0.21925133	0.24242425	0.030357143	0.055357143	0.57114005	1.0414907
nBa.0.1-t00013-RA bicyclus_anynana_nba01_core_27_80_1 cds 	402	402	401	90	101	10	0.2238806	0.25124377	0.024937656	0.04987531	0.4433471	0.8866942
nBa.0.1-t00014-RA bicyclus_anynana_nba01_core_27_80_1 cds 	135	135	134	27	31	1	0.2	0.22962964	0.0074626864	0.04477612	0.16249397	0.9749639
nBa.0.1-t00015-RA bicyclus_anynana_nba01_core_27_80_1 cds 	345	345	344	67	84	16	0.1942029	0.24347825	0.046511628	0.06395349	0.9836615	1.3525345
nBa.0.1-t00016-RA bicyclus_anynana_nba01_core_27_80_1 cds 	252	252	251	39	59	9	0.15476191	0.23412699	0.035856575	0.043824703	0.98958534	1.2094932
nBa.0.1-t00017-RA bicyclus_anynana_nba01_core_27_80_1 cds 	357	357	356	63	68	4	0.1764706	0.1904762	0.011235955	0.030898876	0.33426964	0.91924155
nBa.0.1-t00018-RA bicyclus_anynana_nba01_core_27_80_1 cds 	501	501	500	103	103	14	0.20558882	0.20558882	0.028	0.052	0.6624591	1.2302811
nBa.0.1-t00019-RA bicyclus_anynana_nba01_core_27_80_1 cds 	1287	1285	1282	338	304	64	0.26303503	0.23657587	0.049921997	0.055382214	0.80224663	0.88999236
nBa.0.1-t00020-RA bicyclus_anynana_nba01_core_27_80_1 cds 	993	993	992	235	258	49	0.23665659	0.25981873	0.049395163	0.07762097	0.8033325	1.2623796
nBa.0.1-t00021-RA bicyclus_anynana_nba01_core_27_80_1 cds 	219	219	218	35	40	3	0.15981735	0.1826484	0.013761468	0.018348623	0.4714384	0.6285845
