seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
KPJ05924.1 papilio_xuthus_papxu1_core_27_80_2 cds 	303	303	302	74	80	16	0.24422443	0.2640264	0.052980132	0.07615894	0.82163054	1.1810939
KPJ05922.1 papilio_xuthus_papxu1_core_27_80_2 cds 	246	246	245	95	64	35	0.38617885	0.2601626	0.14285715	0.114285715	1.4218986	1.1375189
KPJ05923.1 papilio_xuthus_papxu1_core_27_80_2 cds 	513	513	512	96	163	34	0.1871345	0.3177388	0.06640625	0.08984375	1.1168242	1.5109974
KPJ05921.1 papilio_xuthus_papxu1_core_27_80_2 cds 	399	399	398	94	110	26	0.23558897	0.2756892	0.06532663	0.09547739	1.005809	1.4700285
KPJ05917.1 papilio_xuthus_papxu1_core_27_80_2 cds 	309	309	308	55	86	15	0.17799352	0.27831715	0.048701297	0.06168831	0.983097	1.2452562
KPJ05918.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1155	1155	1154	148	255	28	0.12813853	0.22077923	0.024263432	0.033795495	0.8576583	1.1945956
KPJ05919.1 papilio_xuthus_papxu1_core_27_80_2 cds 	417	417	416	75	94	16	0.17985612	0.22541967	0.03846154	0.045673076	0.9486579	1.1265311
KPJ05920.1 papilio_xuthus_papxu1_core_27_80_2 cds 	597	597	596	111	148	15	0.18592964	0.2479062	0.025167786	0.05872483	0.54602057	1.274048
KPJ05916.1 papilio_xuthus_papxu1_core_27_80_2 cds 	2139	2139	2138	551	572	150	0.257597	0.2674147	0.070159025	0.079513565	1.0184916	1.1542906
KPJ05915.1 papilio_xuthus_papxu1_core_27_80_2 cds 	645	645	644	150	149	30	0.23255815	0.23100775	0.04658385	0.041925468	0.8671161	0.78040457
KPJ05914.1 papilio_xuthus_papxu1_core_27_80_2 cds 	624	624	623	96	146	23	0.15384616	0.23397435	0.036918137	0.030497592	1.0256162	0.84724814
KPJ05913.1 papilio_xuthus_papxu1_core_27_80_2 cds 	657	657	656	150	150	32	0.2283105	0.2283105	0.048780486	0.047256097	0.93582445	0.90658
KPJ05912.1 papilio_xuthus_papxu1_core_27_80_2 cds 	780	780	779	192	228	39	0.24615385	0.2923077	0.050064184	0.080872916	0.69579333	1.1239738
KPJ05911.1 papilio_xuthus_papxu1_core_27_80_2 cds 	234	234	233	52	73	11	0.22222222	0.31196582	0.047210302	0.06437768	0.6809924	0.92862594
KPJ05910.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1098	1098	1097	200	253	46	0.18214937	0.23041895	0.041932542	0.05287147	0.9990916	1.2597244
KPJ05908.1 papilio_xuthus_papxu1_core_27_80_2 cds 	330	330	329	91	73	18	0.27575758	0.22121212	0.054711245	0.075987846	0.8968922	1.2456837
KPJ05909.1 papilio_xuthus_papxu1_core_27_80_2 cds 	225	225	224	62	71	20	0.27555555	0.31555554	0.08928572	0.116071425	1.0268264	1.3348742
KPJ05906.1 papilio_xuthus_papxu1_core_27_80_2 cds 	612	612	611	138	144	36	0.2254902	0.23529412	0.058919802	0.05237316	1.1105102	0.9871202
KPJ05907.1 papilio_xuthus_papxu1_core_27_80_2 cds 	627	627	626	147	147	40	0.23444976	0.23444976	0.063897766	0.0543131	1.1624817	0.9881094
KPJ05905.1 papilio_xuthus_papxu1_core_27_80_2 cds 	372	372	371	119	86	20	0.31989247	0.2311828	0.053908356	0.08086254	0.728948	1.093422
KPJ05904.1 papilio_xuthus_papxu1_core_27_80_2 cds 	174	174	173	40	45	10	0.22988506	0.25862068	0.057803467	0.07514451	0.97225434	1.2639307
KPJ05903.1 papilio_xuthus_papxu1_core_27_80_2 cds 	324	324	323	49	53	6	0.15123457	0.16358025	0.01857585	0.030959751	0.75087345	1.2514558
KPJ05902.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1692	1692	1691	383	410	97	0.22635934	0.24231678	0.057362508	0.060910705	1.0457941	1.1104825
KPJ05901.1 papilio_xuthus_papxu1_core_27_80_2 cds 	906	906	905	192	213	59	0.21192053	0.23509933	0.06519337	0.058563534	1.3085159	1.1754465
KPJ05900.1 papilio_xuthus_papxu1_core_27_80_2 cds 	411	411	410	114	103	25	0.27737227	0.25060827	0.06097561	0.06341463	0.87719816	0.91228604
KPJ05899.1 papilio_xuthus_papxu1_core_27_80_2 cds 	270	270	269	86	61	19	0.31851852	0.22592592	0.07063197	0.08921933	0.9815233	1.2398188
KPJ05898.1 papilio_xuthus_papxu1_core_27_80_2 cds 	996	996	995	217	222	55	0.21787149	0.22289157	0.055276383	0.054271355	1.1382707	1.1175748
KPJ05897.1 papilio_xuthus_papxu1_core_27_80_2 cds 	282	282	281	78	71	23	0.27659574	0.25177306	0.081850536	0.07473309	1.1753489	1.0731446
KPJ05896.1 papilio_xuthus_papxu1_core_27_80_2 cds 	366	366	365	66	74	12	0.18032786	0.2021858	0.03287671	0.038356163	0.9017266	1.0520144
KPJ05895.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1401	1401	1400	230	289	48	0.16416845	0.20628123	0.034285713	0.03642857	1.0124271	1.0757039
KPJ05892.1 papilio_xuthus_papxu1_core_27_80_2 cds 	402	402	401	96	103	18	0.23880596	0.2562189	0.04488778	0.08977556	0.73362106	1.4672421
KPJ05893.1 papilio_xuthus_papxu1_core_27_80_2 cds 	450	450	449	110	109	23	0.24444444	0.24222222	0.051224943	0.07349666	0.86514187	1.2412906
KPJ05894.1 papilio_xuthus_papxu1_core_27_80_2 cds 	903	903	902	217	280	52	0.24031007	0.31007752	0.05764967	0.0864745	0.7736678	1.1605017
KPJ05891.1 papilio_xuthus_papxu1_core_27_80_2 cds 	231	231	230	50	56	11	0.21645021	0.24242425	0.047826085	0.073913045	0.9114456	1.4085978
KPJ05890.1 papilio_xuthus_papxu1_core_27_80_2 cds 	927	927	926	218	191	46	0.2351672	0.206041	0.049676027	0.056155507	1.0252186	1.1589427
KPJ05889.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1971	1971	1970	567	588	195	0.28767124	0.29832572	0.09898477	0.11573604	1.1534034	1.3485948
KPJ05888.1 papilio_xuthus_papxu1_core_27_80_2 cds 	270	270	269	66	77	14	0.24444444	0.2851852	0.05204461	0.10408922	0.7465667	1.4931334
KPJ05887.1 papilio_xuthus_papxu1_core_27_80_2 cds 	375	375	374	104	96	33	0.27733332	0.256	0.0882353	0.080213904	1.2427973	1.1298157
KPJ05886.1 papilio_xuthus_papxu1_core_27_80_2 cds 	321	321	320	59	81	18	0.18380062	0.25233644	0.05625	0.03125	1.2128178	0.67378765
KPJ05885.1 papilio_xuthus_papxu1_core_27_80_2 cds 	4560	4560	4559	804	1001	152	0.17631578	0.21951754	0.033340644	0.03904365	0.8614173	1.008765
KPJ05883.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1128	1128	1127	190	226	40	0.16843972	0.2003546	0.035492457	0.03016859	1.0517008	0.89394575
KPJ05884.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1626	1626	1625	224	289	34	0.13776138	0.17773677	0.020923076	0.026461538	0.8545171	1.0807128
KPJ05882.1 papilio_xuthus_papxu1_core_27_80_2 cds 	315	315	314	71	87	27	0.22539683	0.2761905	0.08598726	0.044585988	1.381267	0.7162125
KPJ05867.1 papilio_xuthus_papxu1_core_27_80_2 cds 	447	447	446	69	95	10	0.15436241	0.21252796	0.022421524	0.031390134	0.6834512	0.95683163
KPJ05868.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1056	1056	1055	237	244	35	0.22443181	0.23106061	0.033175357	0.04549763	0.6397426	0.87736124
KPJ05869.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1791	1791	1790	316	348	55	0.17643775	0.19430485	0.030726258	0.041899443	0.89626104	1.2221742
KPJ05870.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1923	1923	1922	290	376	58	0.15080604	0.19552782	0.030176898	0.031217482	1.0234045	1.0586942
KPJ05871.1 papilio_xuthus_papxu1_core_27_80_2 cds 	420	420	419	78	110	27	0.18571429	0.26190478	0.06443914	0.040572792	1.3248327	0.8341539
KPJ05872.1 papilio_xuthus_papxu1_core_27_80_2 cds 	993	993	992	123	155	22	0.12386707	0.15609264	0.022177419	0.015120967	1.1470245	0.7820621
KPJ05873.1 papilio_xuthus_papxu1_core_27_80_2 cds 	7791	7791	7790	1260	1740	251	0.16172507	0.22333461	0.032220796	0.034403082	0.8920781	0.9524978
KPJ05874.1 papilio_xuthus_papxu1_core_27_80_2 cds 	237	237	236	33	38	7	0.1392405	0.16033755	0.029661017	0.016949153	1.3285723	0.7591842
KPJ05875.1 papilio_xuthus_papxu1_core_27_80_2 cds 	579	579	578	124	143	26	0.21416235	0.24697755	0.044982698	0.06401384	0.8504424	1.2102449
KPJ05876.1 papilio_xuthus_papxu1_core_27_80_2 cds 	360	360	359	63	88	13	0.175	0.24444444	0.0362117	0.06963788	0.84650725	1.6278986
KPJ05877.1 papilio_xuthus_papxu1_core_27_80_2 cds 	630	630	629	84	175	17	0.13333334	0.2777778	0.027027028	0.03497615	0.72972965	0.94435596
KPJ05878.1 papilio_xuthus_papxu1_core_27_80_2 cds 	321	321	320	71	83	15	0.2211838	0.25856698	0.046875	0.046875	0.8196244	0.8196244
KPJ05879.1 papilio_xuthus_papxu1_core_27_80_2 cds 	351	351	350	83	87	14	0.23646724	0.24786325	0.04	0.045714285	0.6824595	0.77995366
KPJ05880.1 papilio_xuthus_papxu1_core_27_80_2 cds 	405	405	404	104	106	24	0.25679013	0.2617284	0.05940594	0.066831686	0.883895	0.9943819
KPJ05881.1 papilio_xuthus_papxu1_core_27_80_2 cds 	561	561	560	110	138	17	0.19607843	0.24598931	0.030357143	0.042857144	0.6293827	0.8885403
KPJ05866.1 papilio_xuthus_papxu1_core_27_80_2 cds 	741	741	740	197	203	63	0.26585695	0.27395412	0.08513513	0.07702703	1.168915	1.0575899
KPJ05865.1 papilio_xuthus_papxu1_core_27_80_2 cds 	348	348	347	66	91	16	0.18965517	0.26149425	0.04610951	0.0518732	0.9297446	1.0459627
KPJ05864.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1146	1146	1145	250	303	50	0.2181501	0.26439792	0.04366812	0.062008735	0.7570962	1.0750767
KPJ05863.1 papilio_xuthus_papxu1_core_27_80_2 cds 	1578	1578	1577	423	318	54	0.26806083	0.20152092	0.03424223	0.055802155	0.6338822	1.0329932
