seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
OBRU01_00015-RA operophtera_brumata_v1_core_27_80_2 cds 	1854	1854	1853	577	578	195	0.31121898	0.31175837	0.10523476	0.13761468	1.0846136	1.4183408
OBRU01_00016-RA operophtera_brumata_v1_core_27_80_2 cds 	753	753	752	266	201	78	0.35325366	0.26693228	0.10372341	0.082446806	1.0999906	0.8743515
OBRU01_00017-RA operophtera_brumata_v1_core_27_80_2 cds 	3249	3249	3248	792	635	181	0.2437673	0.19544475	0.055726603	0.045874383	1.1696694	0.9628769
OBRU01_00018-RA operophtera_brumata_v1_core_27_80_2 cds 	4437	4437	4436	953	963	246	0.21478477	0.21703854	0.055455364	0.042155094	1.1896062	0.90429413
OBRU01_00019-RA operophtera_brumata_v1_core_27_80_2 cds 	963	963	962	221	208	30	0.22949117	0.21599169	0.031185031	0.043659043	0.629134	0.88078755
OBRU01_00020-RA operophtera_brumata_v1_core_27_80_2 cds 	264	264	263	39	78	12	0.14772727	0.29545453	0.045627378	0.045627378	1.04538	1.04538
OBRU01_00021-RA operophtera_brumata_v1_core_27_80_2 cds 	1221	1221	1220	193	282	18	0.15806715	0.23095824	0.014754098	0.041803278	0.40414536	1.1450785
OBRU01_00022-RA operophtera_brumata_v1_core_27_80_2 cds 	708	708	707	215	206	69	0.3036723	0.29096046	0.097595476	0.10749646	1.104563	1.2166201
OBRU01_00024-RA operophtera_brumata_v1_core_27_80_2 cds 	693	693	692	128	145	10	0.18470418	0.2092352	0.014450867	0.03468208	0.37392318	0.89741564
OBRU01_00025-RA operophtera_brumata_v1_core_27_80_2 cds 	612	612	611	93	121	6	0.15196079	0.19771242	0.009819968	0.02618658	0.32684705	0.8715921
OBRU01_00026-RA operophtera_brumata_v1_core_27_80_2 cds 	2763	2763	2762	664	739	180	0.24031849	0.2674629	0.06517017	0.06915279	1.0139068	1.0758678
OBRU01_00028-RA operophtera_brumata_v1_core_27_80_2 cds 	405	405	404	69	89	11	0.17037037	0.21975309	0.027227722	0.042079207	0.72724754	1.1239281
