seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
pgl100035.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	186	186	185	43	62	10	0.2311828	0.33333334	0.054054055	0.054054055	0.7014456	0.7014456
pgl100053.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	681	674	672	224	207	77	0.3323442	0.30712166	0.114583336	0.11309524	1.1225945	1.1080153
pgl100075.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	564	564	563	135	134	22	0.2393617	0.23758866	0.039076377	0.055062167	0.6871221	0.9682175
pgl100082.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1125	1125	1124	201	209	44	0.17866667	0.18577778	0.03914591	0.032918148	1.1793673	0.99174064
pgl100091.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	303	303	302	84	93	19	0.27722773	0.3069307	0.06291391	0.07615894	0.7393834	0.895043
pgl1000.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	306	306	305	83	78	27	0.27124184	0.25490198	0.08852459	0.078688525	1.2803656	1.1381028
pgl1000.2.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1059	1059	1058	208	237	36	0.19641171	0.22379604	0.034026466	0.040642723	0.7741	0.92461944
pgl1000.3.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	708	708	707	205	191	44	0.289548	0.26977402	0.062234797	0.07072136	0.7967326	0.9053779
pgl1000.4.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	204	204	203	45	56	16	0.22058824	0.27450982	0.07881773	0.08374384	1.3016185	1.3829696
pgl10012.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1848	1848	1847	504	470	108	0.27272728	0.254329	0.0584732	0.057390362	0.84300935	0.82739806
pgl10012.2.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1608	1608	1607	331	376	76	0.20584577	0.23383084	0.047293093	0.046048537	0.9825485	0.95669186
pgl100134.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	204	204	203	53	59	17	0.25980392	0.28921568	0.08374384	0.06403941	1.1145135	0.8522751
pgl10025.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	366	366	365	54	86	15	0.14754099	0.23497267	0.04109589	0.030136986	1.1854094	0.8693002
pgl10025.2.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	276	276	275	50	57	11	0.18115942	0.20652173	0.04	0.047272727	1.0691369	1.2635254
pgl100372.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	429	429	428	162	117	52	0.37762237	0.27272728	0.12149533	0.11682243	1.1797047	1.1343313
pgl100384.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	336	336	335	52	67	8	0.15476191	0.19940476	0.023880597	0.03880597	0.77383	1.2574737
pgl100421.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	453	453	452	87	83	14	0.19205298	0.18322296	0.030973451	0.07522124	0.8802148	2.1376646
pgl100519.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	816	816	815	177	136	27	0.21691176	0.16666667	0.033128835	0.03803681	0.9163773	1.0521368
pgl10054.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1821	1821	1820	569	549	213	0.31246567	0.3014827	0.11703297	0.12032967	1.2423487	1.2773445
pgl10054.4.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	318	318	317	93	87	23	0.29245284	0.2735849	0.07255521	0.0851735	0.906819	1.0645267
pgl10054.2.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	813	813	812	244	265	91	0.300123	0.32595325	0.112068966	0.12315271	1.1455941	1.2588946
pgl10054.3.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	180	180	179	38	51	13	0.21111111	0.28333333	0.0726257	0.044692736	1.2141757	0.74718505
pgl100575.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	2964	2964	2963	887	895	401	0.29925776	0.3019568	0.1353358	0.09517381	1.4976919	1.0532397
pgl1005.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	366	366	365	88	88	24	0.24043716	0.24043716	0.06575342	0.038356163	1.137405	0.6634863
pgl1005.2.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	504	504	503	124	118	26	0.24603175	0.23412699	0.05168986	0.05168986	0.8973518	0.8973518
pgl100673.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1026	1026	1025	244	207	41	0.23781677	0.20175439	0.04	0.04	0.8336707	0.8336707
pgl100702.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	186	186	185	45	51	9	0.24193548	0.27419356	0.048648648	0.048648648	0.73335457	0.73335457
pgl100721.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	540	540	539	137	131	18	0.2537037	0.24259259	0.033395175	0.06864564	0.5425995	1.1153435
pgl100785.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	396	396	395	70	92	18	0.17676768	0.23232323	0.04556962	0.055696204	1.1096344	1.3562199
pgl10085.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	222	222	221	50	46	11	0.22522523	0.2072072	0.049773756	0.04524887	1.0665435	0.96958494
pgl1008.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1161	1161	1160	271	266	75	0.23341946	0.22911283	0.06465517	0.06551724	1.2089734	1.2250931
pgl100905.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	162	162	161	36	39	9	0.22222222	0.24074075	0.055900622	0.04347826	1.0449116	0.81270903
pgl100956.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	213	213	212	65	74	24	0.3051643	0.34741783	0.11320755	0.1273585	1.0677991	1.201274
pgl101008.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	513	513	512	112	138	29	0.21832359	0.26900584	0.056640625	0.060546875	0.9644188	1.0309305
pgl10112.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	348	348	347	120	100	41	0.3448276	0.28735632	0.11815562	0.13544668	1.1924266	1.366928
pgl10118.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	201	201	200	52	67	19	0.25870648	0.33333334	0.095	0.095	1.1016345	1.1016345
pgl10128.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	192	192	191	39	45	8	0.203125	0.234375	0.041884817	0.057591625	0.87979597	1.2097194
pgl10131.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	222	222	221	63	51	15	0.2837838	0.22972973	0.06787331	0.06787331	1.0411043	1.0411043
pgl101357.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	456	456	455	151	136	55	0.33114034	0.2982456	0.12087912	0.13406594	1.2239542	1.3574765
pgl1013.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	399	399	398	80	87	17	0.20050125	0.21804512	0.042713568	0.047738694	0.9770176	1.0919609
pgl1013.2.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	435	435	434	68	97	16	0.15632184	0.2229885	0.03686636	0.03686636	1.0576162	1.0576162
pgl1013.3.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1992	1992	1991	414	439	95	0.20783132	0.22038153	0.047714718	0.044198897	1.0417564	0.9649954
pgl1013.4.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1560	1560	1559	285	330	71	0.1826923	0.21153846	0.045542013	0.044259142	1.1784269	1.1452318
pgl1013.5.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	366	366	365	73	67	12	0.19945355	0.18306011	0.03287671	0.043835618	0.9004361	1.2005816
pgl1013.6.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1218	1218	1217	210	243	44	0.1724138	0.19950739	0.03615448	0.0451931	1.0510688	1.3138359
pgl1013.7.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1647	1647	1646	313	367	57	0.1900425	0.22282939	0.034629405	0.047387607	0.8177524	1.1190296
pgl1013.8.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	1854	1854	1853	370	432	89	0.1995685	0.23300971	0.04803022	0.05288721	1.0328768	1.1373252
pgl1013.9.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	474	474	473	66	112	7	0.1392405	0.23628692	0.014799154	0.033826638	0.44981262	1.0281432
pgl1014.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	171	171	170	43	37	8	0.25146198	0.21637426	0.047058824	0.07058824	0.8648945	1.2973417
pgl101572.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	300	300	299	81	108	33	0.27	0.36	0.110367894	0.110367894	1.135472	1.135472
pgl10157.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	333	333	332	86	66	9	0.25825825	0.1981982	0.027108435	0.057228915	0.5296031	1.118051
pgl101582.1.mrna papilio_glaucus_v1x1_core_27_80_2 cds 	546	546	545	127	126	25	0.23260073	0.23076923	0.04587156	0.06055046	0.8545835	1.1280502
