seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
XM_013320836.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1008	1008	1007	101	63	3	0.10019841	0.0625	0.002979146	0.007944389	0.47571948	1.2685853
XM_013306074.1 papilio_xuthus_pxut1_core_27_80_2 cds 	681	681	680	84	55	5	0.12334802	0.080763586	0.007352941	0.00882353	0.7380968	0.88571614
XM_013326654.1 papilio_xuthus_pxut1_core_27_80_2 cds 	777	777	776	121	96	6	0.15572716	0.12355212	0.0077319588	0.016752576	0.40186015	0.8706969
XM_013309456.1 papilio_xuthus_pxut1_core_27_80_2 cds 	357	357	356	46	25	3	0.12885155	0.070028014	0.008426966	0.0056179776	0.9339202	0.6226135
XM_013312940.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1419	1419	1418	98	170	8	0.06906272	0.119802676	0.005641749	0.014104372	0.68187314	1.7046827
XM_013309457.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1335	1335	1334	87	168	7	0.06516854	0.12584269	0.0052473764	0.011244378	0.63984716	1.371101
XM_013310613.1 papilio_xuthus_pxut1_core_27_80_2 cds 	939	939	938	72	137	10	0.076677315	0.14589989	0.010660981	0.011727079	0.9529614	1.0482576
XM_013314064.1 papilio_xuthus_pxut1_core_27_80_2 cds 	402	402	401	101	83	25	0.25124377	0.20646766	0.06234414	0.06234414	1.2018446	1.2018446
XM_013316337.1 papilio_xuthus_pxut1_core_27_80_2 cds 	354	354	353	68	74	13	0.19209039	0.20903955	0.036827195	0.04532578	0.9171377	1.1287848
XM_013326128.1 papilio_xuthus_pxut1_core_27_80_2 cds 	441	441	440	72	114	10	0.1632653	0.2585034	0.022727273	0.045454547	0.5385018	1.0770036
XM_013326435.1 papilio_xuthus_pxut1_core_27_80_2 cds 	873	873	872	124	159	21	0.14203894	0.18213059	0.02408257	0.012614679	0.9309203	0.4876249
XM_013326231.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1002	1002	1001	157	207	21	0.15668663	0.20658682	0.02097902	0.024975024	0.6481129	0.77156293
XM_013319702.1 papilio_xuthus_pxut1_core_27_80_2 cds 	2499	2499	2498	395	417	57	0.15806322	0.16686675	0.022818254	0.01761409	0.86513084	0.6678203
XM_013326539.1 papilio_xuthus_pxut1_core_27_80_2 cds 	963	963	962	139	185	27	0.1443406	0.19210799	0.028066529	0.016632017	1.0121729	0.5998062
XM_013326779.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1089	1089	1088	156	202	34	0.14325069	0.18549128	0.03125	0.01930147	1.1760608	0.72639054
XM_013326901.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1083	1083	1082	162	195	18	0.14958449	0.1800554	0.01663586	0.012014788	0.6176644	0.44609097
XM_013326655.1 papilio_xuthus_pxut1_core_27_80_2 cds 	783	783	782	105	148	20	0.13409962	0.1890166	0.025575448	0.006393862	1.0090107	0.25225267
XM_013323248.1 papilio_xuthus_pxut1_core_27_80_2 cds 	819	819	818	118	151	23	0.14407815	0.18437119	0.028117359	0.02200489	1.0584817	0.82837695
XM_013327305.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1280	1280	1279	253	306	46	0.19765624	0.2390625	0.0359656	0.040656764	0.7611413	0.8604206
XM_013305797.1 papilio_xuthus_pxut1_core_27_80_2 cds 	615	615	614	204	143	39	0.33170733	0.23252033	0.06351791	0.07654723	0.82353157	0.9924611
XM_013305883.1 papilio_xuthus_pxut1_core_27_80_2 cds 	931	931	930	253	242	94	0.2717508	0.25993556	0.10107527	0.09677419	1.430897	1.3700078
XM_013305976.1 papilio_xuthus_pxut1_core_27_80_2 cds 	1800	1800	1799	481	607	157	0.26722223	0.33722222	0.08727071	0.081156194	0.9684556	0.900602
XM_013306359.1 papilio_xuthus_pxut1_core_27_80_2 cds 	3090	3090	3089	634	638	117	0.205178	0.20647249	0.037876334	0.05050178	0.8940771	1.1921028
XM_013306278.1 papilio_xuthus_pxut1_core_27_80_2 cds 	3222	3222	3221	656	661	119	0.20360024	0.20515208	0.03694505	0.049053088	0.88450855	1.1743895
XM_013306189.1 papilio_xuthus_pxut1_core_27_80_2 cds 	3354	3354	3353	674	685	121	0.20095408	0.20423375	0.036087085	0.0480167	0.8792805	1.1699518
XM_013306533.1 papilio_xuthus_pxut1_core_27_80_2 cds 	492	492	491	126	138	26	0.25609756	0.2804878	0.052953158	0.089613035	0.73717815	1.2475322
XM_013306615.1 papilio_xuthus_pxut1_core_27_80_2 cds 	462	462	461	126	133	28	0.27272728	0.28787878	0.060737528	0.10845987	0.7736043	1.3814361
