seq_info1seq_info2	gene_length	validLength	Dinucleotide_count	C_count	G_count	CGcount	C_freq	G_freq	CG_freq	GC_freq	CpGOE	GpCOE
EHJ74350 danaus_plexippus_core_27_80_1 cds 	339	339	338	64	75	20	0.18879056	0.22123894	0.0591716	0.053254437	1.416679	1.2750111
EHJ74353 danaus_plexippus_core_27_80_1 cds 	489	489	488	56	96	14	0.114519425	0.19631901	0.028688524	0.024590164	1.276047	1.0937546
EHJ74352 danaus_plexippus_core_27_80_1 cds 	1197	1197	1196	219	262	49	0.1829574	0.21888053	0.0409699	0.035117056	1.0230758	0.8769221
EHJ74351 danaus_plexippus_core_27_80_1 cds 	579	579	578	134	128	33	0.23143351	0.22107081	0.057093427	0.053633217	1.1159081	1.0482774
EHJ74349 danaus_plexippus_core_27_80_1 cds 	309	309	308	57	67	14	0.18446602	0.21682848	0.045454547	0.035714287	1.136435	0.8929132
EHJ73250 danaus_plexippus_core_27_80_1 cds 	2394	2394	2393	522	562	104	0.21804512	0.23475355	0.043460093	0.052653573	0.8490478	1.028654
EHJ73255 danaus_plexippus_core_27_80_1 cds 	834	834	833	233	232	63	0.2793765	0.27817747	0.075630255	0.08043218	0.9731589	1.0349468
EHJ73257 danaus_plexippus_core_27_80_1 cds 	327	327	326	123	76	28	0.3761468	0.2324159	0.08588957	0.07055215	0.9824653	0.8070251
EHJ73258 danaus_plexippus_core_27_80_1 cds 	135	135	134	30	40	12	0.22222222	0.2962963	0.08955224	0.04477612	1.3600746	0.6800373
EHJ73260 danaus_plexippus_core_27_80_1 cds 	1302	1302	1301	389	349	89	0.2987711	0.26804915	0.068408914	0.08147579	0.8542002	1.017362
EHJ73252 danaus_plexippus_core_27_80_1 cds 	1011	1011	1010	260	267	63	0.25717112	0.26409495	0.06237624	0.06534653	0.9184106	0.9621444
EHJ73256 danaus_plexippus_core_27_80_1 cds 	468	468	467	121	145	39	0.258547	0.30982906	0.08351178	0.08137045	1.042524	1.0157926
EHJ73249 danaus_plexippus_core_27_80_1 cds 	1071	1071	1070	169	246	29	0.15779646	0.22969188	0.027102804	0.037383176	0.7477757	1.0314147
EHJ73251 danaus_plexippus_core_27_80_1 cds 	2865	2865	2864	648	483	107	0.226178	0.16858639	0.037360337	0.028980447	0.97980106	0.7600326
EHJ73261 danaus_plexippus_core_27_80_1 cds 	543	543	542	117	133	41	0.21546961	0.24493554	0.07564576	0.05904059	1.4333318	1.118698
EHJ73259 danaus_plexippus_core_27_80_1 cds 	855	855	854	205	249	52	0.23976608	0.29122806	0.06088993	0.07025761	0.87201613	1.0061724
EHJ73248 danaus_plexippus_core_27_80_1 cds 	327	327	326	54	64	16	0.16513762	0.19571866	0.049079753	0.030674847	1.5185325	0.94908285
EHJ73253 danaus_plexippus_core_27_80_1 cds 	1005	1005	1004	212	223	40	0.21094528	0.22189055	0.03984064	0.045816734	0.8511727	0.9788486
